Iteration,Run,Fitness
0,0,0.1721141900
1,0,0.1721141900
2,0,0.1710201136
3,0,0.1710201136
4,0,0.1693920870
5,0,0.1688256047
6,0,0.1681805598
7,0,0.1644268864
8,0,0.1617934654
9,0,0.1617934654
10,0,0.1591400564
11,0,0.1586029105
12,0,0.1586029105
13,0,0.1586029105
14,0,0.1586029105
15,0,0.1586029105
16,0,0.1586029105
17,0,0.1585129997
18,0,0.1585129997
19,0,0.1584939248
20,0,0.1584939248
21,0,0.1584939248
22,0,0.1584939248
23,0,0.1584939248
24,0,0.1584939248
25,0,0.1584939248
26,0,0.1584939248
27,0,0.1584939248
28,0,0.1584939248
29,0,0.1584939248
30,0,0.1584939248
31,0,0.1584841565
32,0,0.1584841565
33,0,0.1584841565
34,0,0.1584841565
35,0,0.1584841565
36,0,0.1584841565
37,0,0.1584841565
38,0,0.1584841565
39,0,0.1584841565
40,0,0.1584841565
41,0,0.1584841565
42,0,0.1584841565
43,0,0.1584841565
44,0,0.1584841565
45,0,0.1584841565
46,0,0.1584841565
47,0,0.1584841565
48,0,0.1584841565
49,0,0.1584841565
50,0,0.1584841565
51,0,0.1584841565
52,0,0.1584841565
53,0,0.1584841565
54,0,0.1584841565
55,0,0.1584841565
56,0,0.1584841565
57,0,0.1584841565
58,0,0.1584841565
59,0,0.1584841565
60,0,0.1584841565
61,0,0.1584841565
62,0,0.1584841565
63,0,0.1584841565
64,0,0.1584841565
65,0,0.1584841565
66,0,0.1584841565
67,0,0.1584841565
68,0,0.1584841565
69,0,0.1584841565
70,0,0.1584841565
71,0,0.1584841565
72,0,0.1584841565
73,0,0.1584841565
74,0,0.1584841565
75,0,0.1584841565
76,0,0.1584841565
77,0,0.1584841565
78,0,0.1584841565
79,0,0.1584841565
80,0,0.1584841565
81,0,0.1584841565
82,0,0.1584841565
83,0,0.1584841565
84,0,0.1584841565
85,0,0.1584841565
86,0,0.1584841565
87,0,0.1584841565
88,0,0.1584841565
89,0,0.1584841565
90,0,0.1584841565
91,0,0.1584841565
92,0,0.1584841565
93,0,0.1584841565
94,0,0.1584841565
95,0,0.1584841565
96,0,0.1584841565
97,0,0.1584841565
98,0,0.1584841565
99,0,0.1584841565
0,1,0.1718640357
1,1,0.1710312038
2,1,0.1691710225
3,1,0.1691710225
4,1,0.1691710225
5,1,0.1691016896
6,1,0.1689932227
7,1,0.1689932227
8,1,0.1689932227
9,1,0.1689932227
10,1,0.1689932227
11,1,0.1689932227
12,1,0.1688871199
13,1,0.1688871199
14,1,0.1688871199
15,1,0.1688871199
16,1,0.1688871199
17,1,0.1688788589
18,1,0.1688788589
19,1,0.1688665010
20,1,0.1688665010
21,1,0.1664302881
22,1,0.1562270938
23,1,0.1562270938
24,1,0.1562270938
25,1,0.1562270938
26,1,0.1555285177
27,1,0.1543826561
28,1,0.1541797720
29,1,0.1539078568
30,1,0.1539078568
31,1,0.1539078568
32,1,0.1539078568
33,1,0.1538113182
34,1,0.1531950238
35,1,0.1531950238
36,1,0.1531950238
37,1,0.1531950238
38,1,0.1531950238
39,1,0.1531950238
40,1,0.1531950238
41,1,0.1531950238
42,1,0.1531950238
43,1,0.1531950238
44,1,0.1531950238
45,1,0.1531950238
46,1,0.1531950238
47,1,0.1531950238
48,1,0.1531950238
49,1,0.1531950238
50,1,0.1531950238
51,1,0.1531950238
52,1,0.1531950238
53,1,0.1531950238
54,1,0.1531950238
55,1,0.1531950238
56,1,0.1531950238
57,1,0.1531950238
58,1,0.1531179656
59,1,0.1531179656
60,1,0.1531179656
61,1,0.1531179656
62,1,0.1531179656
63,1,0.1531179656
64,1,0.1531179656
65,1,0.1531179656
66,1,0.1531179656
67,1,0.1531179656
68,1,0.1531179656
69,1,0.1531179656
70,1,0.1531179656
71,1,0.1531179656
72,1,0.1531179656
73,1,0.1531179656
74,1,0.1531179656
75,1,0.1531179656
76,1,0.1531179656
77,1,0.1531179656
78,1,0.1531179656
79,1,0.1530843347
80,1,0.1530843347
81,1,0.1530843347
82,1,0.1530843347
83,1,0.1530843347
84,1,0.1530843347
85,1,0.1530843347
86,1,0.1530843347
87,1,0.1530843347
88,1,0.1530843347
89,1,0.1530843347
90,1,0.1530843347
