Iteration,Run,Fitness
0,0,0.3102050771
1,0,0.3058093998
2,0,0.3058093998
3,0,0.3058093998
4,0,0.3058093998
5,0,0.3058093998
6,0,0.3058093998
7,0,0.3058093998
8,0,0.3058093998
9,0,0.3058093998
10,0,0.3058093998
11,0,0.3058093998
12,0,0.3058093998
13,0,0.3058093998
14,0,0.3058093998
15,0,0.3058093998
16,0,0.3058093998
17,0,0.3058093998
18,0,0.3058093998
19,0,0.3058093998
20,0,0.3058093998
21,0,0.3058093998
22,0,0.3058093998
23,0,0.3058093998
24,0,0.3058093998
25,0,0.3058093998
26,0,0.3058093998
27,0,0.3058093998
28,0,0.3058093998
29,0,0.3058093998
30,0,0.3038342572
31,0,0.3038342572
32,0,0.3038342572
33,0,0.3038342572
34,0,0.3038342572
35,0,0.3038342572
36,0,0.3038342572
37,0,0.3038342572
38,0,0.3038342572
39,0,0.3004100542
40,0,0.3004100542
41,0,0.3004100542
42,0,0.3004100542
43,0,0.3004100542
44,0,0.3004100542
45,0,0.3004100542
46,0,0.3004100542
47,0,0.3004100542
48,0,0.3004100542
49,0,0.3004100542
50,0,0.3004100542
51,0,0.3004100542
52,0,0.3004100542
53,0,0.3004100542
54,0,0.3004100542
55,0,0.3004100542
56,0,0.3004100542
57,0,0.3004100542
58,0,0.3004100542
59,0,0.3004100542
60,0,0.3004100542
61,0,0.3004100542
62,0,0.3004100542
63,0,0.3004100542
64,0,0.3004100542
65,0,0.3004100542
66,0,0.3004100542
67,0,0.3004100542
68,0,0.3004100542
69,0,0.3004100542
70,0,0.3004100542
71,0,0.3004100542
72,0,0.3004100542
73,0,0.3004100542
74,0,0.3004100542
75,0,0.3004100542
76,0,0.3004100542
77,0,0.3004100542
78,0,0.3004100542
79,0,0.3004100542
80,0,0.3004100542
81,0,0.3004100542
82,0,0.3004100542
83,0,0.3004100542
84,0,0.3004100542
85,0,0.3004100542
86,0,0.3004100542
87,0,0.3004100542
88,0,0.3004100542
89,0,0.3004100542
90,0,0.3004100542
91,0,0.3004100542
92,0,0.3004100542
93,0,0.3004100542
94,0,0.2978211895
95,0,0.2978211895
96,0,0.2978211895
97,0,0.2978211895
98,0,0.2978211895
99,0,0.2978211895
0,1,0.3068222906
1,1,0.3068222906
2,1,0.3068222906
3,1,0.3068222906
4,1,0.3007412178
5,1,0.3007412178
6,1,0.3007412178
7,1,0.3007412178
8,1,0.3007412178
9,1,0.3007412178
10,1,0.3007412178
11,1,0.2969580401
12,1,0.2969580401
13,1,0.2969580401
14,1,0.2969580401
15,1,0.2969580401
16,1,0.2969580401
17,1,0.2969580401
18,1,0.2969580401
19,1,0.2969580401
20,1,0.2969580401
21,1,0.2969580401
22,1,0.2936801404
23,1,0.2936801404
24,1,0.2936801404
25,1,0.2926607802
26,1,0.2926607802
27,1,0.2926607802
28,1,0.2926607802
29,1,0.2926607802
30,1,0.2926607802
31,1,0.2926607802
32,1,0.2926607802
33,1,0.2926607802
34,1,0.2926607802
35,1,0.2926607802
36,1,0.2926607802
37,1,0.2926607802
38,1,0.2926607802
39,1,0.2926607802
40,1,0.2926607802
41,1,0.2926607802
42,1,0.2926607802
43,1,0.2926607802
44,1,0.2926607802
45,1,0.2926607802
46,1,0.2850076387
47,1,0.2850076387
48,1,0.2850076387
49,1,0.2850076387
50,1,0.2850076387
51,1,0.2850076387
52,1,0.2850076387
53,1,0.2850076387
54,1,0.2850076387
55,1,0.2850076387
56,1,0.2850076387
57,1,0.2850076387
58,1,0.2850076387
59,1,0.2850076387
60,1,0.2850076387
61,1,0.2850076387
62,1,0.2850076387
63,1,0.2850076387
64,1,0.2850076387
65,1,0.2850076387
66,1,0.2850076387
67,1,0.2850076387
68,1,0.2850076387
69,1,0.2850076387
70,1,0.2850076387
71,1,0.2850076387
72,1,0.2850076387
73,1,0.2850076387
74,1,0.2850076387
75,1,0.2850076387
76,1,0.2850076387
77,1,0.2850076387
78,1,0.2850076387
79,1,0.2850076387
80,1,0.2850076387
81,1,0.2850076387
82,1,0.2850076387
83,1,0.2850076387
84,1,0.2850076387
85,1,0.2850076387
86,1,0.2850076387
87,1,0.2850076387
88,1,0.2850076387
89,1,0.2850076387
90,1,0.2850076387
91,1,0.2850076387
92,1,0.2850076387
93,1,0.2850076387
94,1,0.2850076387
95,1,0.2850076387
96,1,0.2850076387
97,1,0.2850076387
98,1,0.2850076387
99,1,0.2850076387
0,2,0.2944084573
1,2,0.2944084573
2,2,0.2944084573
3,2,0.2944084573
4,2,0.2944084573
5,2,0.2944084573
6,2,0.2944084573
7,2,0.2944084573
8,2,0.2944084573
9,2,0.2944084573
10,2,0.2944084573
11,2,0.2944084573
12,2,0.2944084573
13,2,0.2919321790
14,2,0.2919321790
15,2,0.2919321790
16,2,0.2919321790
17,2,0.2919321790
