Iteration,Run,Fitness
0,0,0.3083912760
1,0,0.3083912760
2,0,0.3005279091
3,0,0.3005279091
4,0,0.3005279091
5,0,0.3005279091
6,0,0.3005279091
7,0,0.3005279091
8,0,0.3003611223
9,0,0.3003611223
10,0,0.3003611223
11,0,0.3003611223
12,0,0.3003611223
13,0,0.3003611223
14,0,0.3003611223
15,0,0.2887624876
16,0,0.2887624876
17,0,0.2887624876
18,0,0.2887624876
19,0,0.2887624876
20,0,0.2887624876
21,0,0.2887624876
22,0,0.2887624876
23,0,0.2887624876
24,0,0.2887624876
25,0,0.2887624876
26,0,0.2887624876
27,0,0.2887624876
28,0,0.2887624876
29,0,0.2887624876
30,0,0.2887624876
31,0,0.2887624876
32,0,0.2887624876
33,0,0.2887624876
34,0,0.2887624876
35,0,0.2887624876
36,0,0.2887624876
37,0,0.2887624876
38,0,0.2887624876
39,0,0.2887540087
40,0,0.2887540087
41,0,0.2851336066
42,0,0.2851336066
43,0,0.2851336066
44,0,0.2851336066
45,0,0.2851336066
46,0,0.2851336066
47,0,0.2851336066
48,0,0.2851336066
49,0,0.2851336066
50,0,0.2851336066
51,0,0.2851336066
52,0,0.2851336066
53,0,0.2851336066
54,0,0.2851336066
55,0,0.2851336066
56,0,0.2851336066
57,0,0.2851336066
58,0,0.2851336066
59,0,0.2851336066
60,0,0.2851336066
61,0,0.2851336066
62,0,0.2851336066
63,0,0.2851336066
64,0,0.2851336066
65,0,0.2851336066
66,0,0.2851336066
67,0,0.2851336066
68,0,0.2851336066
69,0,0.2851336066
70,0,0.2851336066
71,0,0.2851336066
72,0,0.2851336066
73,0,0.2851336066
74,0,0.2851336066
75,0,0.2851336066
76,0,0.2851336066
77,0,0.2851336066
78,0,0.2851336066
79,0,0.2851336066
80,0,0.2851336066
81,0,0.2851336066
82,0,0.2851336066
83,0,0.2851336066
84,0,0.2851336066
85,0,0.2851336066
86,0,0.2851336066
87,0,0.2851336066
88,0,0.2851336066
89,0,0.2851336066
90,0,0.2851336066
91,0,0.2851336066
92,0,0.2851336066
93,0,0.2851336066
94,0,0.2851336066
95,0,0.2851336066
96,0,0.2851336066
97,0,0.2851336066
98,0,0.2851336066
99,0,0.2851336066
0,1,0.3155543908
1,1,0.3155543908
2,1,0.3110663442
3,1,0.3110663442
4,1,0.3110663442
5,1,0.3110663442
6,1,0.3110663442
7,1,0.3110663442
8,1,0.3110663442
9,1,0.3050207234
10,1,0.3050207234
11,1,0.3050207234
12,1,0.3050207234
13,1,0.3050207234
14,1,0.3050207234
15,1,0.3050207234
16,1,0.3050207234
17,1,0.3050207234
18,1,0.3050207234
19,1,0.3050207234
20,1,0.3050207234
21,1,0.3050207234
22,1,0.3050207234
23,1,0.3050207234
24,1,0.3050207234
25,1,0.3050207234
26,1,0.3050207234
27,1,0.3050207234
28,1,0.3050207234
29,1,0.3050207234
30,1,0.3050207234
31,1,0.3050207234
32,1,0.3050207234
33,1,0.3050207234
34,1,0.3050207234
35,1,0.3050207234
36,1,0.3041250040
37,1,0.3041250040
38,1,0.3041250040
39,1,0.3041250040
40,1,0.3041250040
41,1,0.3041250040
42,1,0.3041250040
43,1,0.3041250040
44,1,0.3041250040
45,1,0.3041250040
46,1,0.3041250040
47,1,0.3041250040
48,1,0.3041250040
49,1,0.3041250040
50,1,0.3041250040
51,1,0.3041250040
52,1,0.3041250040
53,1,0.3041250040
54,1,0.3041250040
55,1,0.2952144852
56,1,0.2952144852
57,1,0.2952144852
58,1,0.2952144852
59,1,0.2938226160
60,1,0.2938226160
61,1,0.2938226160
62,1,0.2938226160
63,1,0.2938226160
64,1,0.2938226160
65,1,0.2938226160
66,1,0.2938226160
67,1,0.2938226160
68,1,0.2938226160
69,1,0.2938226160
70,1,0.2938226160
71,1,0.2938226160
72,1,0.2938226160
73,1,0.2938226160
74,1,0.2938226160
75,1,0.2938226160
76,1,0.2938226160
77,1,0.2938226160
78,1,0.2938226160
79,1,0.2938226160
80,1,0.2938226160
81,1,0.2938226160
82,1,0.2938226160
83,1,0.2938226160
84,1,0.2938226160
85,1,0.2938226160
86,1,0.2938226160
87,1,0.2938226160
88,1,0.2938226160
89,1,0.2938226160
90,1,0.2938226160
91,1,0.2938226160
92,1,0.2938226160
93,1,0.2938226160
94,1,0.2938226160
95,1,0.2938226160
96,1,0.2938226160
97,1,0.2938226160
98,1,0.2938226160
99,1,0.2938226160
0,2,0.3045467877
1,2,0.3045467877
2,2,0.3045467877
3,2,0.3045467877
4,2,0.3045467877
5,2,0.3045467877
6,2,0.3045467877
7,2,0.3045467877
8,2,0.3045467877
9,2,0.3045467877
10,2,0.3045467877
11,2,0.3045467877
12,2,0.3045467877
13,2,0.3045467877
14,2,0.2936126578
15,2,0.2936126578
16,2,0.2872237464
17,2,0.2872237464
18,2,0.2872237464
19,2,0.2872237464
20,2,0.2872237464
21,2,0.2872237464
22,2,0.2872237464
23,2,0.2872237464
24,2,0.2872237464
25,2,0.2872237464
26,2,0.2872237464
27,2,0.2872237464
28,2,0.2872237464
29,2,0.2872237464
30,2,0.2872237464
31,2,0.2872237464
32,2,0.2872237464
33,2,0.2872237464
34,2,0.2872237464
35,2,0.2872237464
36,2,0.2872237464
37,2,0.2872237464
38,2,0.2872237464
39,2,0.2872237464
40,2,0.2872237464
41,2,0.2872237464
42,2,0.2872237464
43,2,0.2872237464
44,2,0.2872237464
45,2,0.2872237464
46,2,0.2872237464
47,2,0.2872237464
48,2,0.2872237464
49,2,0.2872237464
50,2,0.2872237464
51,2,0.2872237464
52,2,0.2872237464
53,2,0.2872237464
54,2,0.2872237464
55,2,0.2872237464
56,2,0.2872237464
57,2,0.2872237464
58,2,0.2872237464
59,2,0.2872237464
60,2,0.2872237464
61,2,0.2872237464
62,2,0.2872237464
63,2,0.2872237464
64,2,0.2872237464
65,2,0.2872237464
66,2,0.2872237464
67,2,0.2872237464
68,2,0.2872237464
69,2,0.2872237464
70,2,0.2872237464
71,2,0.2872237464
72,2,0.2872237464
73,2,0.2872237464
74,2,0.2872237464
75,2,0.2872237464
76,2,0.2872237464
77,2,0.2872237464
78,2,0.2872237464
79,2,0.2872237464
80,2,0.2872237464
81,2,0.2872237464
82,2,0.2872237464
83,2,0.2872237464
84,2,0.2872237464
85,2,0.2872237464
86,2,0.2872237464
87,2,0.2872237464
88,2,0.2872237464
89,2,0.2872237464
90,2,0.2872237464
91,2,0.2872237464
92,2,0.2872237464
93,2,0.2872237464
94,2,0.2872237464
95,2,0.2872237464
96,2,0.2872237464
97,2,0.2872237464
98,2,0.2872237464
99,2,0.2872237464
0,3,0.3035790639
1,3,0.3035790639
2,3,0.3035790639
3,3,0.3035790639
4,3,0.3035790639
5,3,0.3035790639
6,3,0.3035790639
7,3,0.3035790639
8,3,0.3035790639
9,3,0.3035790639
10,3,0.3035790639
11,3,0.3035790639
12,3,0.3035790639
13,3,0.3035790639
14,3,0.3035790639
15,3,0.3035011921
16,3,0.3035011921
17,3,0.3035011921
18,3,0.3035011921
19,3,0.3035011921
20,3,0.3035011921
21,3,0.3035011921
22,3,0.3035011921
23,3,0.3035011921
24,3,0.3035011921
25,3,0.3035011921
26,3,0.3035011921
27,3,0.3035011921
28,3,0.3035011921
29,3,0.3035011921
30,3,0.3035011921
31,3,0.3035011921
32,3,0.3035011921
33,3,0.3035011921
34,3,0.3035011921
35,3,0.3035011921
36,3,0.3035011921
37,3,0.3035011921
38,3,0.3035011921
39,3,0.3035011921
40,3,0.2920458062
41,3,0.2920458062
42,3,0.2920458062
43,3,0.2920458062
44,3,0.2920458062
45,3,0.2920458062
46,3,0.2920458062
47,3,0.2920458062
48,3,0.2920458062
49,3,0.2920458062
50,3,0.2920458062
51,3,0.2920458062
52,3,0.2920458062
53,3,0.2920458062
54,3,0.2920458062
55,3,0.2920458062
56,3,0.2920458062
57,3,0.2920458062
58,3,0.2920458062
59,3,0.2920458062
60,3,0.2920458062
61,3,0.2920458062
62,3,0.2920458062
63,3,0.2920458062
64,3,0.2920458062
65,3,0.2920458062
66,3,0.2920458062
67,3,0.2920458062
68,3,0.2920458062
69,3,0.2920458062
70,3,0.2920458062
71,3,0.2920458062
72,3,0.2920458062
73,3,0.2920458062
74,3,0.2920458062
75,3,0.2920458062
76,3,0.2920458062
77,3,0.2920458062
78,3,0.2920458062
79,3,0.2920458062
80,3,0.2920458062
81,3,0.2920458062
82,3,0.2920458062
83,3,0.2920458062
84,3,0.2920458062
85,3,0.2920458062
86,3,0.2920458062
87,3,0.2920458062
88,3,0.2920458062
89,3,0.2920458062
90,3,0.2920458062
91,3,0.2920458062
92,3,0.2920458062
93,3,0.2920458062
94,3,0.2920458062
95,3,0.2920458062
96,3,0.2920458062
97,3,0.2920458062
98,3,0.2920458062
99,3,0.2920458062
0,4,0.3075386246
1,4,0.3073105621
2,4,0.3073105621
3,4,0.3053536184
4,4,0.3042878494
5,4,0.3042878494
6,4,0.2988695294
7,4,0.2988695294
8,4,0.2833654422
9,4,0.2833654422
10,4,0.2833654422
11,4,0.2833654422
12,4,0.2833654422
13,4,0.2833654422
14,4,0.2833654422
15,4,0.2833654422
16,4,0.2833654422
17,4,0.2833654422
18,4,0.2833654422
19,4,0.2833654422
20,4,0.2833654422
21,4,0.2833654422
22,4,0.2833654422
23,4,0.2833654422
24,4,0.2833654422
25,4,0.2833654422
26,4,0.2833654422
27,4,0.2833654422
28,4,0.2833654422
