ParameterValue,Run,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
0.1,0,509.59499999999997,107.66558708333335,0.38212073313121203,741.3593641666677,0.29900800525859067,30
0.1,1,537.1,103.90906983333333,0.34533322472537686,718.4882249999997,0.2963334771743225,33
0.1,2,452.36,106.41787233333332,0.4166173328027824,735.7566499999992,0.2857859698182081,36
0.1,3,601.115,106.42545508333329,0.31441275241287714,728.0184258333336,0.2949637053102212,34
0.1,4,509.141,104.12243433333332,0.368268001071085,711.8902474999995,0.2830030850564576,33
0.1,5,423.91700000000003,96.82350950000001,0.42011549823825556,726.6942341666671,0.291538140060235,32
0.1,6,525.658,108.79409441666661,0.36265992337223063,747.9774016666673,0.289739822786402,35
0.1,7,499.05,107.24699533333337,0.3872092442307049,746.954197500001,0.2946157234181904,27
0.1,8,435.02500000000003,101.54371416666667,0.39571989349271114,705.8051125000004,0.28842241784891065,51
0.1,9,493.9,106.12527058333323,0.38202946277924005,716.7159708333334,0.2922595228350778,31
0.1,10,488.557,99.88001500000004,0.3723891207508369,708.1823216666667,0.28805166497376433,34
0.1,11,483.818,101.57549083333322,0.38453438758651665,722.8979849999989,0.28205284107381595,36
0.1,12,469.53200000000004,101.56516666666664,0.3886111489738719,718.7977683333329,0.2929888366882551,31
0.1,13,527.639,106.47499366666666,0.3419102486106345,719.3361858333326,0.3000517218789309,32
0.1,14,456.992,103.11210191666672,0.4098662850407299,735.3658283333331,0.2925462945248755,34
0.1,15,529.155,107.71625191666669,0.35646323855959033,719.2497824999998,0.29901843465138433,31
0.1,16,528.567,101.50197975000002,0.3560718319531867,741.0502616666678,0.2951116394425232,32
0.1,17,487.211,105.96570541666664,0.3766492341100672,714.5125658333332,0.2890506221270452,36
0.1,18,462.42900000000003,101.49480916666653,0.39043084091467706,708.521241666666,0.2895210790824922,32
0.1,19,497.236,104.93771391666667,0.36493703861613647,708.1932549999995,0.28612144308079995,31
0.1,20,430.694,106.98791583333332,0.4524036051891441,754.7045308333338,0.2821618471499478,31
0.1,21,462.77,95.69460366666668,0.38824842074176524,718.4350216666655,0.2920364842788037,30
0.1,22,547.833,108.0436728333334,0.34966414339162954,729.8732325000004,0.2853545667899793,33
0.1,23,541.6279999999999,107.61593025000005,0.3562089570701661,748.4753833333326,0.2888939304330557,32
0.1,24,412.73900000000003,98.87727491666665,0.42917416737130865,701.9933900000007,0.30371070671327366,34
