ParameterValue,Run,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
0.1,0,434.047,102.48333966666652,0.4201205476211869,727.0439691666662,0.28172729469435603,31
0.1,1,427.873,102.88165241666671,0.4359991866745505,735.9977191666661,0.28034972640295375,37
0.1,2,514.662,103.84421883333341,0.3595755758148064,724.0638083333334,0.28671605583139637,29
0.1,3,397.064,93.45986574999995,0.4198429052579263,698.0245049999996,0.2729293845840354,48
0.1,4,453.304,100.95955158333341,0.40761511774291265,712.4336874999993,0.28851117423272066,32
0.1,5,477.452,102.94443766666663,0.3801856067904905,719.5813658333328,0.27088697529124023,38
0.1,6,417.588,99.20508166666676,0.40620219370927,684.2303216666663,0.29484465804523957,32
0.1,7,516.438,107.04629274999986,0.3653038409257256,735.9361516666653,0.2879253689266131,31
0.1,8,498.983,98.59115883333338,0.364359363612254,709.4914208333338,0.2867446850336287,30
0.1,9,535.6750000000001,105.5603937499999,0.3494305875764222,729.9830716666671,0.2923945101347825,30
0.1,10,496.54200000000003,104.41418141666671,0.3646116105653365,733.2021774999995,0.27953548340692963,41
0.1,11,507.567,106.37110825000006,0.3652275200449726,733.7487791666662,0.29547606182616276,33
0.1,12,444.836,102.36203541666676,0.40495145401900906,702.6587383333328,0.2799058091769136,33
0.1,13,450.456,103.7032625833332,0.4041729787889012,711.0982491666666,0.29457642699414055,30
0.1,14,457.749,108.57002124999991,0.39016344109981665,702.0738399999999,0.2966823816384399,35
0.1,15,480.74399999999997,100.85813683333325,0.3828051034784971,712.0385750000006,0.2849294692966334,27
0.1,16,546.126,107.20206900000008,0.3503503007242529,730.8670508333327,0.2855952351521638,32
0.1,17,482.892,103.02253274999991,0.37670636498430277,725.9780416666677,0.28270078255628883,35
0.1,18,466.916,113.97193191666666,0.3939847067423976,725.2459541666657,0.2726973782131445,38
0.1,19,447.707,98.86292666666655,0.40189452030010697,716.1673483333325,0.287671401446044,31
0.1,20,626.225,109.82865149999996,0.28785928380374454,711.5530558333336,0.28768188905394654,39
0.1,21,446.17600000000004,100.74373483333342,0.40668828743216423,708.3141916666667,0.27697120461911884,30
0.1,22,397.889,110.45450458333339,0.460160492834266,712.2851408333329,0.2908470474224728,37
0.1,23,495.37300000000005,107.14854375,0.39707036583207656,751.9164933333336,0.2847749352052539,31
0.1,24,490.343,108.56524483333327,0.38345612832921705,734.920948333333,0.2970285052254764,31
0.1,25,491.447,104.56133983333343,0.3808721693285338,736.9274766666663,0.2899622140295902,32
0.1,26,442.254,107.71647333333341,0.42263657310052594,743.1997683333336,0.28808953922400604,34
0.1,27,470.659,105.81273858333343,0.38401993446068866,724.2927049999997,0.29185571937846255,48
0.1,28,434.457,100.37072883333344,0.40234736694310363,702.6982066666662,0.27942046252492114,36
0.1,29,449.267,101.75450383333325,0.3975294201443685,711.7008225000002,0.2864694997182427,31
0.2,0,472.752,110.19055099999996,0.40764069392267666,744.1237783333331,0.2860599417019709,29
0.2,1,499.44100000000003,101.07814125000003,0.3622517741501664,704.7459266666659,0.30008545520012475,33
0.2,2,449.062,103.78676708333339,0.4273804322491474,742.2352641666658,0.2915756118015622,30
0.2,3,487.894,101.16508266666676,0.3710780791182783,719.8488941666661,0.2853260975067649,32
0.2,4,404.045,97.93801958333327,0.44466110210496346,723.6127408333343,0.2918535603590456,28
0.2,5,591.651,105.95525583333325,0.3108317797710699,721.9809583333329,0.3008214837867575,35
0.2,6,486.014,100.74289241666659,0.37919742366817955,724.4410283333344,0.2897096558607775,31
0.2,7,498.334,105.92954483333338,0.380288073193213,744.8269533333324,0.28486152292560596,35
0.2,8,451.525,100.22882625000001,0.4176348079655981,750.6527516666665,0.28757663943775785,32
0.2,9,490.432,104.27658466666665,0.38534955576580104,736.278505833334,0.29050135035013747,29
0.2,10,591.07,112.85513608333345,0.32546565832586105,745.8595916666662,0.287931953539486,37
0.2,11,564.017,109.09664591666669,0.3366689006418836,741.5141916666659,0.28052036535660424,36
0.2,12,460.993,99.6141899166668,0.39260379224847225,708.6709925000001,0.30292700069669354,36
0.2,13,517.6899999999999,109.58944625000008,0.3745221464583052,726.728530000001,0.2924169679528428,29
0.2,14,417.565,98.41483116666672,0.4139557553913761,709.3703783333339,0.2728889887015601,38
