ParameterValue,Run,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
20.0,0,372.773,93.08941041666667,0.46722355606942195,697.596729999999,0.2949080215238958,31
20.0,1,533.755,109.35881633333318,0.3696232010316843,762.672775833333,0.2877614403713204,28
20.0,2,500.34900000000005,104.03108233333336,0.3683574031992333,719.5063008333328,0.29429964284132626,31
20.0,3,476.48,97.86391316666666,0.38880234217595694,736.8459691666667,0.2974282441364303,30
20.0,4,394.503,103.53926483333343,0.4774036023384696,734.9940541666658,0.30196009887754655,30
20.0,5,521.975,106.15775941666662,0.35550833532895887,709.9282758333343,0.2952051854496663,30
20.0,6,487.761,105.97215408333338,0.387776957704012,713.8627324999997,0.28922272576998015,29
20.0,7,596.235,111.37185091666649,0.3329343463567217,759.177495833333,0.3004224806142189,33
20.0,8,540.187,97.33578858333323,0.33714224580253366,709.6165174999999,0.2967882090972091,28
20.0,9,433.23400000000004,101.97300733333333,0.43538545374247306,728.2072791666664,0.29926608051245607,29
20.0,10,568.462,107.28411916666664,0.3174731409780541,718.5892083333337,0.2841843841745673,33
20.0,11,482.569,107.66331958333336,0.40778289391430717,761.6205849999997,0.28818826279527754,33
20.0,12,470.815,99.2839140833334,0.37148245064409585,702.6435041666665,0.30054447922128014,35
20.0,13,432.771,99.65050241666673,0.42382853749442545,732.8012883333324,0.2928654837900824,31
20.0,14,511.761,97.92271391666678,0.3562206251225343,731.6217958333342,0.284511283967178,33
20.0,15,566.541,110.34969158333338,0.3596610660128745,773.7677775000002,0.2975392944235061,32
20.0,16,472.804,102.2367511666666,0.39574270733750117,724.9415833333333,0.2905543687359511,33
20.0,17,425.838,95.8775725,0.41625684336923113,703.249181666666,0.2939630218494701,36
20.0,18,491.782,109.7216660833333,0.38372626488972755,730.3005866666649,0.30160431383740854,51
20.0,19,428.877,100.57877383333323,0.43584096761231456,726.6897975000006,0.3112642317080981,35
20.0,20,465.397,110.87705016666669,0.3937592027165336,734.8580983333336,0.30750423704335667,40
20.0,21,451.514,97.73910466666665,0.41047450355913645,724.8482991666673,0.2972198518271023,27
20.0,22,477.789,109.21810575000002,0.4081089281391296,746.1245141666662,0.3091618177120846,30
20.0,23,512.023,101.78814058333326,0.3624215253351249,733.9946391666675,0.29608185040339413,30
20.0,24,549.665,112.15511883333335,0.3382683937792412,722.9557266666669,0.29757129465210613,31
20.0,25,532.75,107.12489741666657,0.3511055779759109,736.7262533333336,0.2948339639494881,29
20.0,26,427.757,100.58518216666673,0.43281947460824705,723.9298924999998,0.2977051236862367,33
20.0,27,433.208,100.57120241666674,0.42490790028500525,721.070198333334,0.30340059332388053,30
20.0,28,500.434,98.10362350000007,0.3517974431526765,704.6160491666664,0.3030505604743984,32
20.0,29,453.78200000000004,103.34113975000002,0.4195442708907212,736.2608533333336,0.2986182095475543,30
50.0,0,579.6759999999999,107.43941391666681,0.31060507651400665,707.2993041666666,0.29940358677962936,41
50.0,1,421.466,100.41036674999992,0.4427907984669385,731.7209733333337,0.2945760705269114,30
50.0,2,443.48900000000003,105.46411341666676,0.40651184133090096,711.0598241666664,0.2976042975035299,32
50.0,3,498.128,121.79673841666671,0.4015199038533601,778.5997900000003,0.30275344881537447,44
50.0,4,526.074,108.9919320833332,0.35693352709568094,721.989359166666,0.2981524020614542,32
50.0,5,470.78700000000003,102.15670033333326,0.3896020882762976,715.821700833334,0.29238318288683973,29
50.0,6,515.393,107.5197816666666,0.3776402441114513,744.3860725000017,0.29730013310936826,31
50.0,7,412.776,97.40302966666653,0.43823441366100085,724.0591433333327,0.28592081147479226,31
50.0,8,421.37300000000005,101.04504175000005,0.44720317074579197,735.4022608333337,0.30004509808990115,30
50.0,9,490.279,102.01440458333343,0.3797951744482902,721.1290224999996,0.295281357812926,31
50.0,10,549.708,114.53686533333324,0.33888720920925286,728.6159633333317,0.290569749581632,37
50.0,11,425.769,101.43593708333334,0.4451022972550842,739.9168525000007,0.29204906415285115,29
50.0,12,484.201,107.69684008333337,0.3982896600103399,751.9305058333338,0.2959026131663571,32
50.0,13,417.481,96.19461683333333,0.4092426920825937,697.3440974999996,0.2887082500054398,36
50.0,14,519.086,109.08781958333331,0.3757520462248387,746.4190208333331,0.2929559479466632,32
50.0,15,513.082,108.20777233333327,0.38023119111565007,756.3811383333336,0.30567598051201134,31
50.0,16,492.752,109.56109991666666,0.40009827458843394,747.9532091666673,0.29790542523424884,32
50.0,17,495.71500000000003,101.80334166666667,0.37193185264382417,734.7881033333333,0.2827217292916792,31
50.0,18,441.336,100.03351833333336,0.41610775388064103,709.5897816666662,0.29177035529704565,30
50.0,19,484.55600000000004,104.43398966666675,0.3828217997506996,719.6996999999997,0.29086617044260055,31
50.0,20,454.215,104.04354591666672,0.42530885520440015,755.3901450000003,0.29286504472887237,28
50.0,21,511.46299999999997,106.15843750000003,0.3776566177155858,732.0666541666667,0.2974957967024889,28
50.0,22,503.838,99.80967583333333,0.3645850187295651,713.0441216666671,0.293073879771006,29
50.0,23,617.838,120.28282149999994,0.31578314488048104,750.2545491666662,0.3004978817430586,33
50.0,24,571.207,110.76011425000003,0.34147616655024654,741.4717874999982,0.30221859194625167,30
50.0,25,412.106,100.10637191666669,0.44819468777450444,720.9608966666663,0.288596831923066,28
50.0,26,570.483,105.56606591666664,0.3153030239288461,718.8137016666662,0.2898167412794556,48
50.0,27,515.45,98.4822084166667,0.3453692760371194,697.7376924999999,0.2959540524382669,33
50.0,28,479.97499999999997,103.66301483333329,0.3977811795753251,744.4769383333335,0.2892934598509936,33
50.0,29,457.117,103.73795208333321,0.40900834286772686,719.4104216666664,0.2815235330514816,32
100.0,0,446.757,99.71454766666675,0.4149233326692884,723.0057783333325,0.2974268420446301,29
100.0,1,544.499,108.32454183333326,0.36436188128903807,750.5824066666676,0.2899168599689727,33
100.0,2,436.665,104.64546116666668,0.438473669746831,740.3679699999996,0.2879568781240959,34
100.0,3,561.182,101.5491473333334,0.3345809024523237,730.243963333333,0.29266517419376226,32
100.0,4,477.08000000000004,103.26519449999999,0.3839877658533858,733.8904333333338,0.2968386408808694,32
100.0,5,573.528,112.51104491666675,0.33456498781808947,729.0681324999999,0.294580503136717,43
100.0,6,388.326,96.87111125,0.45399950471167677,711.8944608333335,0.28106016670888057,30
100.0,7,433.84700000000004,102.11123999999991,0.4311163113570759,742.9171591666665,0.28662515413948886,31
100.0,8,550.692,106.70013441666678,0.3509770736939462,744.9453191666666,0.28859032502765514,34
100.0,9,502.037,105.51622541666661,0.36218815877448607,700.0199424999992,0.2913057884899123,36
100.0,10,502.566,109.78751816666679,0.39000283544847825,749.3811474999997,0.2894477297602391,28
100.0,11,413.75,98.23285858333342,0.4376778811681769,709.0747416666673,0.2722516210196532,32
100.0,12,464.558,102.76809925000008,0.4037095583328668,732.3059116666676,0.2708768289147175,29
100.0,13,424.958,102.24159908333318,0.4355702053693149,733.0455999999988,0.2993912901683893,30
100.0,14,520.778,105.43376933333333,0.3784589690808751,759.1992849999982,0.2902154070631813,31
100.0,15,477.132,98.25908050000004,0.38480137222683297,704.1313216666667,0.28993321690634294,30
100.0,16,477.398,99.09833383333338,0.3808438347039577,711.4599058333332,0.2795276261025513,28
100.0,17,432.30100000000004,101.0755385833333,0.4345997040642205,730.239583333333,0.2860779092555411,31
100.0,18,483.23,108.50282341666666,0.4053032855300095,751.7704883333325,0.2800019627468584,35
100.0,19,493.789,109.13936258333337,0.3860487475419662,734.7991991666667,0.30120575771231356,33
100.0,20,616.81,111.91792474999988,0.3256103094956307,762.0739899999987,0.2918771052390813,34
100.0,21,470.38100000000003,103.14394724999987,0.38820753814461034,730.5057341666673,0.29411722847794114,42
100.0,22,489.647,100.79090066666676,0.37246484372074823,712.407686666667,0.29089965241845794,33
100.0,23,476.43,101.19370516666675,0.38819349817042015,734.728400833333,0.2859391517699185,36
100.0,24,491.641,93.89114499999998,0.3562515297408745,704.0089224999998,0.28342468998304055,31
100.0,25,545.3770000000001,108.83184366666663,0.35606900669934105,744.4536949999995,0.2890405649999499,32
100.0,26,513.735,102.19702108333333,0.3404906453067567,690.2124258333328,0.284748705600373,43
100.0,27,573.5469999999999,117.64575608333331,0.3264235654038234,743.3708691666662,0.2904691892937329,34
100.0,28,500.23600000000005,105.90231566666675,0.3613432726419796,722.3997408333331,0.2939212985205879,52
100.0,29,509.495,107.81751450000007,0.37863381714573563,743.6824833333333,0.29088265669481306,28
150.0,0,465.376,99.2238561666668,0.38786601586673997,710.6440749999997,0.29014495397164325,30
150.0,1,500.62800000000004,108.78816316666665,0.38043520338454895,745.6086575000002,0.29841069341768445,41
150.0,2,437.337,96.47194100000004,0.41216479511223597,706.7094625000003,0.29128279982764116,29
150.0,3,528.444,104.82719000000003,0.3471141849152102,711.8622124999994,0.29386244043413984,33
150.0,4,568.375,96.9703320833333,0.3140779649585807,720.1639100000006,0.2819936623123774,33
150.0,5,468.573,102.74262625000004,0.39514379474133876,729.3936149999986,0.2939566214101194,34
150.0,6,526.549,107.51727525000027,0.36337733683538154,728.0925783333334,0.2923366593914089,31
150.0,7,583.9100000000001,112.09356658333317,0.34097037500071353,756.304825833333,0.29371706172386564,31
150.0,8,460.469,100.76301958333337,0.39459018232859683,723.481849166667,0.2897195439228533,31
150.0,9,497.153,107.20737283333321,0.3735814561446207,740.0941299999993,0.2876670967094149,42
150.0,10,544.675,105.52374224999996,0.3401523385505117,720.7762499999999,0.2851232356795862,31
150.0,11,434.475,104.38999800000003,0.4148444559525863,729.2995783333347,0.28121012488895625,38
150.0,12,422.552,99.92545433333339,0.44224045403484846,743.8761991666667,0.2895170156276922,29
150.0,13,492.09200000000004,103.39486649999996,0.369083166020446,719.2945149999997,0.28663784054839075,32
150.0,14,533.8910000000001,109.12992516666664,0.3589808718758447,746.215402500001,0.2824215783780217,31
150.0,15,449.492,100.18212783333342,0.4052049498841654,713.1904900000005,0.2934780165275142,28
150.0,16,444.911,106.37004025000003,0.407334635466419,714.509141666666,0.27934278317523165,34
150.0,17,591.6610000000001,108.57663849999997,0.32060667059909853,742.3690975000002,0.2926725117917584,37
150.0,18,459.522,113.0538834999999,0.40640206562471415,754.1765016666665,0.29169349279346674,40
150.0,19,513.368,100.71380316666675,0.3525843936513378,697.8136608333342,0.29875306491768305,28
150.0,20,474.797,99.48077199999999,0.3958576542536423,732.3502149999999,0.287755496937642,31
150.0,21,491.24399999999997,103.14137133333334,0.3881690225902673,740.8301691666669,0.2899606725901817,30
150.0,22,518.116,105.38916091666665,0.3718510397928905,744.1327058333329,0.2841177581699356,28
150.0,23,514.247,105.36758541666673,0.36521952809966146,726.3995916666665,0.2882399688962318,30
