ParameterValue,Run,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
30.0,0,571.345,107.23420250000004,0.33428206541873395,744.9244233333335,0.29361076939027636,30
30.0,1,457.86,106.81209124999994,0.4210158345345738,748.7902508333337,0.2883708658260614,30
30.0,2,472.789,112.68558599999997,0.3965043497204882,732.0480308333339,0.29634024432616235,37
30.0,3,458.488,103.8000505,0.42404528217386994,741.1511874999997,0.30792326273347687,29
30.0,4,494.56100000000004,108.23107658333335,0.38679908039655364,742.9514133333325,0.30265055278553304,33
30.0,5,537.936,113.90313958333341,0.3661334960540533,743.8657258333333,0.2904988239571507,30
30.0,6,458.43600000000004,102.11595700000004,0.3999838436190293,721.1608375000002,0.2887425877152602,30
30.0,7,594.413,110.42520574999998,0.3079754059887653,719.2377716666671,0.2995204436401957,33
30.0,8,522.794,107.88809374999994,0.3671783596088198,738.1490958333334,0.2892017090397825,37
30.0,9,586.034,103.08814958333336,0.302201920025118,689.418490833333,0.3002249212046105,34
30.0,10,556.011,106.85380758333338,0.34460284358882587,758.6226100000001,0.30221292509447795,43
30.0,11,608.287,111.60167033333335,0.33085926270548827,753.2988883333335,0.289012968400607,28
30.0,12,509.204,97.45280175000003,0.3444151394464038,690.2895833333329,0.29223098928621816,33
30.0,13,485.116,107.57405333333337,0.39888774712302477,751.924485833333,0.2827285157437513,34
30.0,14,473.215,100.04879375000004,0.38974576038375786,723.0395266666665,0.30713100950331007,30
30.0,15,457.115,112.82607016666681,0.41157944937269597,739.8149258333345,0.2895683174955725,33
30.0,16,440.765,98.66972258333335,0.3955805852703064,707.4463924999992,0.29315359133664654,34
30.0,17,514.631,109.31834891666655,0.35504470517063036,707.8263108333339,0.2931426235744366,37
30.0,18,543.186,94.56413966666672,0.324698881537202,702.1037724999995,0.30032514207214484,31
30.0,19,509.625,108.24461008333314,0.35150367099991814,708.1844366666669,0.29770876180230205,35
30.0,20,437.637,102.06354666666662,0.43735078386882265,740.9303349999997,0.29210710120517447,27
30.0,21,459.51,97.77702299999994,0.3933900023938543,721.7164891666666,0.2926579691325687,34
30.0,22,572.338,110.86809875000004,0.3272018777948228,734.3062216666668,0.30725887945766944,30
30.0,23,415.307,103.71899166666667,0.43595129225689255,720.958708333334,0.2882112429141,31
30.0,24,556.276,108.19967208333337,0.3481957068074121,751.8196349999995,0.2846178742197792,31
30.0,25,471.608,102.76918641666667,0.40025947043589866,742.5372591666661,0.2954576813459847,34
30.0,26,625.917,115.6904600833334,0.3179557752864995,745.1646324999992,0.30084909429488205,30
30.0,27,422.022,104.41021516666662,0.4289141640325228,722.7320116666668,0.29148888763200564,37
30.0,28,562.325,105.55948141666661,0.31379358318884387,697.6079433333322,0.2793633748025112,32
30.0,29,486.86,110.766902,0.389804262690164,744.4525391666663,0.29604223243067374,36
50.0,0,585.739,108.04222033333328,0.32797071164232966,733.1279133333336,0.2931959711157604,33
50.0,1,487.086,108.07478483333335,0.4027573843907097,747.0799349999998,0.2972236343318091,28
50.0,2,426.062,99.056722,0.4253903070445146,719.4297800000005,0.27498963989540487,31
50.0,3,498.564,99.65195733333331,0.37375691318800924,733.3583866666669,0.2940999097073686,30
50.0,4,441.352,99.62629316666681,0.4182518564169492,733.228905833334,0.2834555356244387,31
50.0,5,434.12800000000004,100.59250208333331,0.4146736484784823,714.6126216666669,0.2974379036187072,33
50.0,6,525.885,104.96847083333343,0.3495123775476894,732.5550450000005,0.29129685370700864,32
50.0,7,497.37600000000003,105.78266358333337,0.3661901425346887,706.3083133333345,0.3074967287624778,34
50.0,8,454.889,106.2854315833333,0.4180903986100639,734.8701666666665,0.28713968882087376,27
50.0,9,533.291,111.13510441666664,0.35287736276566933,724.1250008333344,0.2951725588425609,36
50.0,10,449.061,110.99693766666655,0.4281719744088219,745.8548750000007,0.2933173807199827,29
50.0,11,426.934,103.86112433333312,0.43908388650236324,719.484785,0.3020628737717461,28
50.0,12,497.503,115.5857251666666,0.38106899187877574,740.9208341666659,0.29164811498394433,35
50.0,13,477.04699999999997,106.74901225000002,0.3862693892495568,707.2504266666657,0.29562974759057403,28
50.0,14,428.543,101.4721723333334,0.42415069977419584,720.8078183333331,0.2947662491998275,36
50.0,15,469.174,100.75556933333341,0.3866026250388981,710.0873633333335,0.2871396702311486,29
50.0,16,523.445,104.5028576666667,0.36605747818140694,738.7525441666671,0.29464921659626847,29
50.0,17,454.821,105.40343541666662,0.41760057619737573,729.7468958333328,0.3006748868174294,28
50.0,18,425.789,99.69982666666681,0.42791130896602153,717.0604600000004,0.29218028827748166,32
50.0,19,541.349,95.66392124999997,0.3198377787096063,700.7023266666672,0.28988814327977863,31
