Iteration,Run,Fitness
0,0,0.4148702168
1,0,0.4148702168
2,0,0.4148702168
3,0,0.4148702168
4,0,0.4148702168
5,0,0.4148702168
6,0,0.4148702168
7,0,0.4148702168
8,0,0.4148702168
9,0,0.4148702168
10,0,0.4148702168
11,0,0.4148702168
12,0,0.4148702168
13,0,0.4140588244
14,0,0.4140588244
15,0,0.4140588244
16,0,0.4140588244
17,0,0.4140588244
18,0,0.4140588244
19,0,0.4140588244
20,0,0.4140588244
21,0,0.4140588244
22,0,0.4140588244
23,0,0.4140588244
24,0,0.4140588244
25,0,0.4140588244
26,0,0.4140588244
27,0,0.4042918130
28,0,0.4042918130
29,0,0.4042918130
30,0,0.4042918130
31,0,0.4042918130
32,0,0.4042918130
33,0,0.4042918130
34,0,0.4042918130
35,0,0.4042918130
36,0,0.4042918130
37,0,0.4042918130
38,0,0.4042918130
39,0,0.4042918130
40,0,0.4042918130
41,0,0.4042918130
42,0,0.4042918130
43,0,0.4042918130
44,0,0.4042918130
45,0,0.4042918130
46,0,0.4042918130
47,0,0.4042918130
48,0,0.4042918130
49,0,0.4042918130
50,0,0.4042918130
51,0,0.4042918130
52,0,0.4042918130
53,0,0.4042918130
54,0,0.4042918130
55,0,0.4042918130
56,0,0.4042918130
57,0,0.4042918130
58,0,0.4042918130
59,0,0.4042918130
60,0,0.4042918130
61,0,0.4042918130
62,0,0.4042918130
63,0,0.4042918130
64,0,0.4042918130
65,0,0.4042918130
66,0,0.4042918130
67,0,0.4042918130
68,0,0.4042918130
69,0,0.4042918130
70,0,0.4042918130
71,0,0.4042918130
72,0,0.4042918130
73,0,0.4042918130
74,0,0.4042918130
0,1,0.4240676419
1,1,0.4240676419
2,1,0.4235955719
3,1,0.4235955719
4,1,0.4235955719
5,1,0.4235955719
6,1,0.4235955719
7,1,0.4235955719
8,1,0.4235955719
9,1,0.4235955719
10,1,0.4235955719
11,1,0.4235955719
12,1,0.4235955719
13,1,0.4235955719
14,1,0.4235955719
15,1,0.4235955719
16,1,0.4235955719
17,1,0.4235955719
18,1,0.4235955719
19,1,0.4235955719
20,1,0.4235955719
21,1,0.4235955719
22,1,0.4235955719
23,1,0.4235955719
24,1,0.4235955719
25,1,0.4235955719
26,1,0.4235955719
27,1,0.4235955719
28,1,0.4235955719
29,1,0.4235955719
30,1,0.4235955719
31,1,0.4235955719
32,1,0.4235955719
33,1,0.4235955719
34,1,0.4235955719
35,1,0.4235955719
36,1,0.4235955719
37,1,0.4235955719
38,1,0.4235955719
39,1,0.4235955719
40,1,0.4235955719
41,1,0.4235955719
42,1,0.4235955719
43,1,0.4235955719
44,1,0.4235955719
45,1,0.4235955719
46,1,0.4235955719
47,1,0.4235955719
48,1,0.4235955719
49,1,0.4235955719
50,1,0.4235955719
51,1,0.4235955719
52,1,0.4235955719
53,1,0.4235955719
54,1,0.4235955719
55,1,0.4209430973
56,1,0.4209430973
57,1,0.4209430973
58,1,0.4209430973
59,1,0.4209430973
60,1,0.4209430973
61,1,0.4209430973
62,1,0.4205744183
63,1,0.4205744183
64,1,0.4205744183
65,1,0.4164026316
66,1,0.4164026316
67,1,0.4164026316
68,1,0.4164026316
69,1,0.4164026316
70,1,0.4164026316
71,1,0.4164026316
72,1,0.4164026316
73,1,0.4164026316
74,1,0.4164026316
0,2,0.4065635820
1,2,0.4065635820
2,2,0.4065635820
3,2,0.4065635820
4,2,0.4065635820
5,2,0.4065635820
6,2,0.4065635820
7,2,0.4065635820
8,2,0.4065635820
9,2,0.4065635820
10,2,0.4065635820
11,2,0.4065635820
12,2,0.4065635820
13,2,0.4065635820
14,2,0.4065635820
15,2,0.4065635820
16,2,0.4065635820
17,2,0.4065635820
18,2,0.4065635820
19,2,0.4065635820
20,2,0.4065635820
21,2,0.4065635820
22,2,0.4065635820
23,2,0.4065635820
24,2,0.4065635820
25,2,0.4065635820
26,2,0.4065635820
27,2,0.4065635820
28,2,0.4065635820
29,2,0.4065635820
30,2,0.4065635820
31,2,0.4065635820
32,2,0.4065635820
33,2,0.4065635820
34,2,0.4065635820
35,2,0.4065635820
36,2,0.4065635820
37,2,0.4065635820
38,2,0.4065635820
39,2,0.4065570084
40,2,0.4065570084
41,2,0.4065570084
42,2,0.4065570084
43,2,0.4065570084
44,2,0.4065570084
45,2,0.4065570084
46,2,0.4065570084
47,2,0.4065570084
48,2,0.4065570084
49,2,0.4065570084
50,2,0.4065570084
51,2,0.4065570084
52,2,0.4065570084
53,2,0.4065570084
54,2,0.4065570084
55,2,0.4065570084
56,2,0.4065570084
57,2,0.4065570084
58,2,0.4065570084
59,2,0.4065570084
60,2,0.4065570084
61,2,0.4065570084
62,2,0.4065570084
63,2,0.4065570084
64,2,0.4065570084
65,2,0.4065570084
66,2,0.4065570084
67,2,0.4065570084
68,2,0.4065570084
69,2,0.4065570084
70,2,0.4065570084
71,2,0.4065570084
72,2,0.4065570084
73,2,0.4065570084
74,2,0.4065570084
0,3,0.3963172406
1,3,0.3963172406
2,3,0.3963172406
3,3,0.3963172406
4,3,0.3963172406
5,3,0.3963172406
6,3,0.3963172406
7,3,0.3963172406
8,3,0.3963172406
9,3,0.3963172406
10,3,0.3963172406
11,3,0.3963172406
12,3,0.3963172406
13,3,0.3963172406
14,3,0.3963172406
15,3,0.3963172406
16,3,0.3963172406
17,3,0.3963172406
18,3,0.3963172406
19,3,0.3963172406
20,3,0.3963172406
21,3,0.3963172406
22,3,0.3963172406
23,3,0.3963172406
24,3,0.3963172406
25,3,0.3963172406
26,3,0.3963172406
27,3,0.3963172406
28,3,0.3963172406
29,3,0.3963172406
30,3,0.3963172406
31,3,0.3963172406
32,3,0.3963172406
33,3,0.3963172406
34,3,0.3963172406
35,3,0.3963172406
36,3,0.3963172406
37,3,0.3963172406
38,3,0.3963172406
39,3,0.3963172406
40,3,0.3963172406
41,3,0.3963172406
42,3,0.3963172406
43,3,0.3963172406
44,3,0.3963172406
45,3,0.3963172406
46,3,0.3963172406
47,3,0.3963172406
48,3,0.3963172406
49,3,0.3963172406
50,3,0.3963172406
51,3,0.3963172406
52,3,0.3963172406
53,3,0.3963172406
54,3,0.3963172406
55,3,0.3915982441
56,3,0.3915982441
57,3,0.3915982441
58,3,0.3915982441
59,3,0.3915982441
60,3,0.3915982441
61,3,0.3915982441
62,3,0.3915982441
63,3,0.3915982441
64,3,0.3915982441
65,3,0.3915982441
66,3,0.3915982441
67,3,0.3915982441
68,3,0.3915982441
69,3,0.3915982441
70,3,0.3915982441
71,3,0.3915982441
72,3,0.3915839169
73,3,0.3915839169
74,3,0.3871853775
0,4,0.4058461407
1,4,0.4058461407
2,4,0.4058461407
3,4,0.4058461407
4,4,0.4058461407
5,4,0.4058461407
6,4,0.4058461407
7,4,0.4058461407
8,4,0.4058461407
9,4,0.4058461407
10,4,0.4058461407
11,4,0.4058461407
12,4,0.4058461407
13,4,0.4058461407
14,4,0.4058461407
15,4,0.4058461407
16,4,0.4058461407
17,4,0.4058461407
18,4,0.4058461407
19,4,0.4058461407
20,4,0.4058461407
21,4,0.4058461407
22,4,0.4058461407
23,4,0.4058461407
24,4,0.4058461407
25,4,0.4058461407
26,4,0.4058461407
27,4,0.4058461407
28,4,0.4058461407
29,4,0.4058461407
30,4,0.4058461407
31,4,0.4053893333
32,4,0.4053893333
33,4,0.4053893333
34,4,0.4053893333
35,4,0.4053893333
36,4,0.4053893333
37,4,0.4053893333
38,4,0.4053893333
39,4,0.4053893333
40,4,0.4053893333
41,4,0.4053893333
42,4,0.4053893333
43,4,0.4053893333
44,4,0.4053893333
45,4,0.4053893333
46,4,0.4053893333
47,4,0.4053893333
48,4,0.4053893333
49,4,0.4053893333
50,4,0.4053893333
51,4,0.4053893333
52,4,0.4053893333
53,4,0.4053893333
54,4,0.4053893333
55,4,0.4053893333
56,4,0.4053893333
57,4,0.4053893333
58,4,0.4053893333
59,4,0.4053893333
60,4,0.4053893333
61,4,0.4053893333
62,4,0.4053893333
63,4,0.4053893333
64,4,0.4053893333
65,4,0.4053893333
66,4,0.4053893333
67,4,0.4053893333
68,4,0.4053893333
69,4,0.4053893333
70,4,0.4053893333
71,4,0.4053893333
72,4,0.4053893333
73,4,0.4053893333
74,4,0.4053893333
0,5,0.4194615453
1,5,0.4140081462
2,5,0.4140081462
3,5,0.4140081462
4,5,0.4140081462
5,5,0.4140081462
6,5,0.4140081462
7,5,0.4140081462
8,5,0.4140081462
9,5,0.4116115093
10,5,0.4116115093
11,5,0.4116115093
12,5,0.4116115093
13,5,0.4078231642
14,5,0.4078231642
15,5,0.4078231642
16,5,0.4078231642
17,5,0.4078231642
18,5,0.4078231642
19,5,0.4078231642
20,5,0.4078231642
21,5,0.4078231642
22,5,0.4078231642
23,5,0.4078231642
24,5,0.4078231642
25,5,0.4078231642
26,5,0.4078231642
27,5,0.4078231642
28,5,0.4078231642
29,5,0.4078231642
30,5,0.4078231642
31,5,0.4078231642
32,5,0.4078231642
33,5,0.4078231642
34,5,0.4078231642
35,5,0.4078231642
36,5,0.4078231642
37,5,0.4078231642
38,5,0.4078231642
39,5,0.4078231642
40,5,0.4078231642
41,5,0.4078231642
42,5,0.4050480141
43,5,0.4050480141
44,5,0.4050480141
45,5,0.4050480141
46,5,0.4050480141
47,5,0.4050480141
48,5,0.4050480141
49,5,0.4050480141
50,5,0.4050480141
51,5,0.4050480141
52,5,0.4050480141
53,5,0.4050480141
54,5,0.4050480141
55,5,0.4050480141
56,5,0.4050480141
57,5,0.4050480141
58,5,0.4050480141
59,5,0.4050480141
60,5,0.4050480141
61,5,0.4050480141
62,5,0.4050480141
63,5,0.4050480141
64,5,0.4050480141
65,5,0.4050480141
66,5,0.4050480141
67,5,0.4050480141
68,5,0.4050480141
69,5,0.4050480141
70,5,0.4050480141
71,5,0.4050480141
72,5,0.4050480141
73,5,0.4050480141
74,5,0.4050480141
0,6,0.4363386582
1,6,0.4363386582
2,6,0.4363386582
3,6,0.4363386582
4,6,0.4363386582
5,6,0.4360675078
6,6,0.4360675078
7,6,0.4238486441
8,6,0.4238486441
9,6,0.4238486441
10,6,0.4238486441
11,6,0.4238486441
12,6,0.4238486441
13,6,0.4238486441
14,6,0.4238486441
15,6,0.4238486441
16,6,0.4238486441
17,6,0.4238486441
18,6,0.4238486441
19,6,0.4238486441
20,6,0.4238486441
21,6,0.4238486441
22,6,0.4238486441
23,6,0.4238486441
24,6,0.4238486441
25,6,0.4238486441
26,6,0.4238486441
27,6,0.4238486441
28,6,0.4238486441
29,6,0.4238486441
30,6,0.4238486441
31,6,0.4238486441
32,6,0.4238486441
33,6,0.4238486441
34,6,0.4238486441
35,6,0.4238486441
36,6,0.4238486441
37,6,0.4238486441
38,6,0.4238486441
39,6,0.4238486441
40,6,0.4238486441
41,6,0.4238486441
42,6,0.4238486441
43,6,0.4238486441
44,6,0.4238486441
45,6,0.4238486441
46,6,0.4238486441
47,6,0.4238486441
48,6,0.4238486441
49,6,0.4238486441
50,6,0.4238486441
51,6,0.4238486441
52,6,0.4238486441
53,6,0.4238486441
54,6,0.4238486441
55,6,0.4238486441
56,6,0.4238486441
57,6,0.4238486441
58,6,0.4238486441
59,6,0.4238486441
60,6,0.4238486441
61,6,0.4238486441
62,6,0.4238486441
63,6,0.4238486441
64,6,0.4238486441
65,6,0.4238486441
66,6,0.4238486441
67,6,0.4238486441
68,6,0.4238486441
69,6,0.4238486441
70,6,0.4238486441
71,6,0.4238486441
72,6,0.4238486441
73,6,0.4238486441
74,6,0.4238486441
0,7,0.4231989529
1,7,0.4231989529
2,7,0.4231989529
3,7,0.4231989529
4,7,0.4231989529
5,7,0.4231989529
6,7,0.4231989529
7,7,0.4231989529
8,7,0.4231989529
9,7,0.4231989529
10,7,0.4231989529
11,7,0.4231989529
12,7,0.4231989529
13,7,0.4214906677
14,7,0.4214906677
15,7,0.4214906677
16,7,0.4214906677
17,7,0.4214906677
18,7,0.4214906677
19,7,0.4214906677
20,7,0.4129904218
21,7,0.4129904218
22,7,0.4129904218
23,7,0.4129904218
24,7,0.4129904218
25,7,0.4129904218
26,7,0.4129904218
27,7,0.4129904218
28,7,0.4129904218
29,7,0.4129904218
30,7,0.4129904218
31,7,0.4129904218
32,7,0.4129904218
33,7,0.4129904218
34,7,0.4129904218
35,7,0.4129904218
36,7,0.4129904218
37,7,0.4129904218
38,7,0.4129904218
39,7,0.4129904218
40,7,0.4129904218
41,7,0.4129904218
42,7,0.4129904218
43,7,0.4129904218
44,7,0.4129904218
45,7,0.4129904218
46,7,0.4129904218
47,7,0.4129904218
48,7,0.4129904218
49,7,0.4129904218
50,7,0.4129904218
51,7,0.4129904218
52,7,0.4129904218
53,7,0.4129904218
54,7,0.4129904218
55,7,0.4129904218
56,7,0.4129904218
57,7,0.4129904218
58,7,0.4129904218
59,7,0.4129904218
60,7,0.4129904218
61,7,0.4129904218
62,7,0.4129904218
63,7,0.4129904218
64,7,0.4129904218
65,7,0.4129904218
66,7,0.4129904218
67,7,0.4129904218
68,7,0.4129904218
69,7,0.4129904218
70,7,0.4129904218
71,7,0.4129904218
72,7,0.4129904218
73,7,0.4129904218
74,7,0.4129904218
0,8,0.4183283723
1,8,0.4183283723
2,8,0.4183283723
3,8,0.4183283723
4,8,0.4183283723
5,8,0.4183283723
6,8,0.4097450869
7,8,0.4097450869
8,8,0.4097450869
9,8,0.4097450869
10,8,0.4097450869
11,8,0.4097450869
12,8,0.4097450869
13,8,0.4097450869
14,8,0.4097450869
15,8,0.4097450869
16,8,0.4097450869
17,8,0.4097450869
18,8,0.4097450869
19,8,0.4097450869
20,8,0.4097450869
21,8,0.4097450869
22,8,0.4097450869
23,8,0.4097450869
24,8,0.4097450869
25,8,0.4097450869
26,8,0.4097450869
27,8,0.4097450869
28,8,0.4097450869
29,8,0.4097450869
30,8,0.4097450869
31,8,0.4097450869
32,8,0.4097450869
33,8,0.4097450869
34,8,0.4097450869
35,8,0.4097450869
36,8,0.4097450869
37,8,0.4097450869
38,8,0.4097450869
39,8,0.4097450869
40,8,0.4097450869
41,8,0.4097450869
42,8,0.4097450869
43,8,0.4097450869
44,8,0.4097450869
45,8,0.4097450869
46,8,0.4097450869
47,8,0.4097450869
48,8,0.4097450869
49,8,0.4097450869
50,8,0.4097450869
51,8,0.4097450869
52,8,0.4097450869
53,8,0.4097450869
54,8,0.4097450869
55,8,0.4097450869
56,8,0.4097450869
57,8,0.4097450869
58,8,0.4097450869
59,8,0.4097450869
60,8,0.4097450869
61,8,0.4097450869
62,8,0.4097450869
63,8,0.4097450869
64,8,0.4097450869
65,8,0.4097450869
66,8,0.4097450869
67,8,0.4097450869
68,8,0.4097450869
69,8,0.4097450869
70,8,0.4097450869
71,8,0.4097450869
72,8,0.4097450869
73,8,0.4097450869
74,8,0.4097450869
0,9,0.3997108463
1,9,0.3997108463
2,9,0.3997108463
3,9,0.3997108463
4,9,0.3997108463
5,9,0.3997108463
6,9,0.3997108463
7,9,0.3997108463
8,9,0.3997108463
9,9,0.3997108463
10,9,0.3997108463
11,9,0.3997108463
12,9,0.3997108463
13,9,0.3997108463
14,9,0.3997108463
15,9,0.3997108463
16,9,0.3997108463
17,9,0.3997108463
18,9,0.3997108463
19,9,0.3997108463
20,9,0.3997108463
21,9,0.3997108463
22,9,0.3997108463
23,9,0.3997108463
24,9,0.3997108463
25,9,0.3997108463
26,9,0.3997108463
27,9,0.3997108463
28,9,0.3997108463
29,9,0.3997108463
30,9,0.3997108463
31,9,0.3997108463
32,9,0.3997108463
33,9,0.3997108463
34,9,0.3997108463
35,9,0.3997108463
36,9,0.3997108463
37,9,0.3997108463
38,9,0.3997108463
39,9,0.3997108463
40,9,0.3997108463
41,9,0.3997108463
42,9,0.3997108463
43,9,0.3997108463
44,9,0.3997108463
45,9,0.3997108463
46,9,0.3997108463
47,9,0.3997108463
48,9,0.3997108463
49,9,0.3997108463
50,9,0.3997108463
51,9,0.3997108463
52,9,0.3997108463
53,9,0.3997108463
54,9,0.3997108463
55,9,0.3997108463
56,9,0.3997108463
57,9,0.3997108463
58,9,0.3997108463
59,9,0.3997108463
60,9,0.3997108463
