Iteration,Run,Fitness
0,0,0.2334318067
1,0,0.2334318067
2,0,0.2334318067
3,0,0.2334318067
4,0,0.2334318067
5,0,0.2334318067
6,0,0.2334318067
7,0,0.2334318067
8,0,0.2334318067
9,0,0.2334318067
10,0,0.2334318067
11,0,0.2059787320
12,0,0.2059787320
13,0,0.2059787320
14,0,0.2059787320
15,0,0.2059787320
16,0,0.2059787320
17,0,0.2059787320
18,0,0.2059787320
19,0,0.2059787320
20,0,0.2059787320
21,0,0.2059787320
22,0,0.2059787320
23,0,0.2059787320
24,0,0.2059787320
25,0,0.2059787320
26,0,0.2059787320
27,0,0.2059787320
28,0,0.2059787320
29,0,0.2059787320
30,0,0.2059787320
31,0,0.2056860420
32,0,0.2056860420
33,0,0.2056860420
34,0,0.2056860420
35,0,0.2056860420
36,0,0.2053179850
37,0,0.2053179850
38,0,0.2053179850
39,0,0.2053179850
40,0,0.2053179850
41,0,0.2053179850
42,0,0.2048245793
43,0,0.2048245793
44,0,0.2048245793
45,0,0.2048245793
46,0,0.2048245793
47,0,0.2048245793
48,0,0.2048245793
49,0,0.2048245793
50,0,0.2048245793
51,0,0.2048245793
52,0,0.2048245793
53,0,0.2048245793
54,0,0.2048245793
55,0,0.2048245793
56,0,0.2048245793
57,0,0.2048245793
58,0,0.2048245793
59,0,0.2048245793
60,0,0.2042836939
61,0,0.2042836939
62,0,0.2042836939
63,0,0.2042836939
64,0,0.2042836939
65,0,0.2035785823
66,0,0.2035785823
67,0,0.2035785823
68,0,0.2035785823
69,0,0.2035785823
70,0,0.2035785823
71,0,0.2035785823
72,0,0.2035785823
73,0,0.2035785823
74,0,0.2035785823
0,1,0.2311586313
1,1,0.2311586313
2,1,0.2311586313
3,1,0.2311586313
4,1,0.2311586313
5,1,0.2311586313
6,1,0.2311586313
7,1,0.2311586313
8,1,0.2311586313
9,1,0.2311586313
10,1,0.2311586313
11,1,0.2311586313
12,1,0.2311586313
13,1,0.2311586313
14,1,0.2311586313
15,1,0.2311586313
16,1,0.2311586313
17,1,0.2311586313
18,1,0.2311586313
19,1,0.2311586313
20,1,0.2311586313
21,1,0.2311586313
22,1,0.2311586313
23,1,0.2311586313
24,1,0.2311586313
25,1,0.2311586313
26,1,0.2311586313
