Iteration,Run,Fitness
0,0,0.2301759147
1,0,0.2301759147
2,0,0.2301759147
3,0,0.2301759147
4,0,0.2301759147
5,0,0.2196986145
6,0,0.2196986145
7,0,0.2196986145
8,0,0.2196986145
9,0,0.2196986145
10,0,0.2196986145
11,0,0.2196986145
12,0,0.2196986145
13,0,0.2196986145
14,0,0.2196986145
15,0,0.2196986145
16,0,0.2196986145
17,0,0.2196986145
18,0,0.2196986145
19,0,0.2196986145
20,0,0.2196986145
21,0,0.2196986145
22,0,0.2196986145
23,0,0.2196986145
24,0,0.2196986145
25,0,0.2196986145
26,0,0.2196986145
27,0,0.2196986145
28,0,0.2196986145
29,0,0.2196986145
30,0,0.2196986145
31,0,0.2196986145
32,0,0.2196986145
33,0,0.2196986145
34,0,0.2196986145
35,0,0.2196986145
36,0,0.2196986145
37,0,0.2196986145
38,0,0.2182935509
39,0,0.2182935509
40,0,0.2182935509
41,0,0.2182935509
42,0,0.2182935509
43,0,0.2182935509
44,0,0.2182935509
45,0,0.2182935509
46,0,0.2182935509
47,0,0.2182935509
48,0,0.2182935509
49,0,0.2182935509
50,0,0.2182935509
51,0,0.2182935509
52,0,0.2182935509
53,0,0.2182935509
54,0,0.2182935509
55,0,0.2182935509
56,0,0.2182935509
57,0,0.2182935509
58,0,0.2182935509
59,0,0.2182935509
60,0,0.2182935509
61,0,0.2182935509
62,0,0.2182935509
63,0,0.2182935509
64,0,0.2182935509
65,0,0.2182935509
66,0,0.2182935509
67,0,0.2182935509
68,0,0.2182935509
69,0,0.2182935509
70,0,0.2182935509
71,0,0.2182935509
72,0,0.2182935509
73,0,0.2182935509
74,0,0.2182935509
75,0,0.2182935509
76,0,0.2182935509
77,0,0.2182935509
78,0,0.2182935509
79,0,0.2182935509
80,0,0.2182935509
81,0,0.2182935509
82,0,0.2182935509
83,0,0.2182935509
84,0,0.2182935509
85,0,0.2182935509
86,0,0.2182935509
87,0,0.2182935509
88,0,0.2182935509
89,0,0.2182935509
90,0,0.2182935509
91,0,0.2182935509
92,0,0.2182935509
93,0,0.2182935509
94,0,0.2182935509
95,0,0.2182935509
96,0,0.2178900269
97,0,0.2178900269
98,0,0.2178900269
99,0,0.2178900269
0,1,0.2361331195
1,1,0.2361331195
2,1,0.2361331195
3,1,0.2361331195
4,1,0.2361331195
5,1,0.2361331195
6,1,0.2311027572
7,1,0.2311027572
8,1,0.2311027572
9,1,0.2311027572
10,1,0.2311027572
11,1,0.2311027572
12,1,0.2288497705
13,1,0.2288497705
14,1,0.2288497705
15,1,0.2288497705
16,1,0.2288497705
17,1,0.2288497705
18,1,0.2288497705
19,1,0.2288497705
20,1,0.2288497705
21,1,0.2288497705
22,1,0.2288497705
23,1,0.2288497705
24,1,0.2288497705
25,1,0.2288497705
26,1,0.2288497705
27,1,0.2288497705
28,1,0.2277828135
29,1,0.2277828135
30,1,0.2277828135
31,1,0.2277828135
32,1,0.2277828135
33,1,0.2249307356
34,1,0.2249307356
35,1,0.2249307356
36,1,0.2249307356
37,1,0.2249307356
38,1,0.2243404272
39,1,0.2243404272
40,1,0.2243404272
41,1,0.2243404272
42,1,0.2243404272
43,1,0.2243404272
44,1,0.2243404272
45,1,0.2243404272
46,1,0.2243404272
47,1,0.2243404272
48,1,0.2243404272
49,1,0.2243404272
50,1,0.2243404272
51,1,0.2215513611
52,1,0.2211569122
53,1,0.2211569122
54,1,0.2211569122
55,1,0.2211569122
56,1,0.2211569122
57,1,0.2172555258
58,1,0.2171209683
59,1,0.2171209683
60,1,0.2171209683
61,1,0.2171209683
62,1,0.2171209683
63,1,0.2171209683
64,1,0.2171209683
65,1,0.2171209683
66,1,0.2171209683
67,1,0.2171209683
68,1,0.2171209683
69,1,0.2171209683
70,1,0.2171209683
71,1,0.2171209683
72,1,0.2171209683
73,1,0.2171209683
74,1,0.2171209683
75,1,0.2171209683
76,1,0.2171209683
77,1,0.2171209683
78,1,0.2171209683
79,1,0.2171209683
80,1,0.2171209683
81,1,0.2171209683
82,1,0.2171209683
83,1,0.2171209683
84,1,0.2171209683
85,1,0.2171209683
86,1,0.2171209683
87,1,0.2171209683
88,1,0.2171209683
89,1,0.2171209683
90,1,0.2171209683
91,1,0.2171209683
92,1,0.2171209683
93,1,0.2171209683
94,1,0.2171209683
95,1,0.2171209683
96,1,0.2171209683
97,1,0.2171209683
98,1,0.2171209683
99,1,0.2171209683
0,2,0.2281665868
1,2,0.2281665868
2,2,0.2281665868
3,2,0.2281665868
4,2,0.2281665868
5,2,0.2281665868
6,2,0.2281665868
7,2,0.2281665868
8,2,0.2252955217
9,2,0.2252955217
10,2,0.2252955217
11,2,0.2252955217
12,2,0.2252955217
13,2,0.2252955217
14,2,0.2252955217
15,2,0.2252955217
16,2,0.2252955217
17,2,0.2252955217
18,2,0.2252955217
19,2,0.2252955217
20,2,0.2252955217
21,2,0.2252955217
22,2,0.2226401284
23,2,0.2226401284
24,2,0.2226401284
25,2,0.2226401284
26,2,0.2226401284
27,2,0.2226401284
28,2,0.2226401284
29,2,0.2226401284
30,2,0.2226401284
31,2,0.2226401284
32,2,0.2226401284
33,2,0.2216396247
34,2,0.2216396247
35,2,0.2216396247
36,2,0.2216396247
37,2,0.2216396247
38,2,0.2216396247
39,2,0.2216396247
40,2,0.2216396247
41,2,0.2216396247
42,2,0.2216396247
43,2,0.2216396247
44,2,0.2216396247
45,2,0.2216396247
46,2,0.2216396247
47,2,0.2216396247
48,2,0.2216396247
49,2,0.2213921073
50,2,0.2213921073
51,2,0.2213921073
52,2,0.2213921073
53,2,0.2213921073
54,2,0.2213921073
55,2,0.2213921073
56,2,0.2213921073
57,2,0.2213921073
58,2,0.2213921073
59,2,0.2213921073
60,2,0.2213921073
61,2,0.2213921073
62,2,0.2213921073
63,2,0.2213921073
64,2,0.2213921073
65,2,0.2213921073
66,2,0.2213921073
67,2,0.2213921073
68,2,0.2213921073
69,2,0.2213921073
70,2,0.2213921073
71,2,0.2213921073
72,2,0.2213921073
73,2,0.2213921073
74,2,0.2213921073
75,2,0.2213921073
76,2,0.2213921073
77,2,0.2213921073
78,2,0.2213921073
79,2,0.2213921073
80,2,0.2213921073
81,2,0.2213921073
82,2,0.2213921073
83,2,0.2213921073
84,2,0.2213921073
85,2,0.2213921073
86,2,0.2213921073
87,2,0.2213921073
88,2,0.2211951976
89,2,0.2211951976
90,2,0.2211951976
91,2,0.2211951976
92,2,0.2211951976
93,2,0.2211951976
94,2,0.2211951976
95,2,0.2211951976
96,2,0.2211951976
97,2,0.2211951976
98,2,0.2211951976
99,2,0.2211951976
0,3,0.2229152486
1,3,0.2229152486
2,3,0.2229152486
3,3,0.2229152486
4,3,0.2229152486
5,3,0.2229152486
6,3,0.2229152486
7,3,0.2229152486
8,3,0.2227165354
9,3,0.2227165354
10,3,0.2227165354
11,3,0.2227165354
12,3,0.2227165354
13,3,0.2227165354
14,3,0.2227165354
15,3,0.2227165354
16,3,0.2227165354
17,3,0.2222410835
18,3,0.2222410835
19,3,0.2222410835
20,3,0.2222410835
21,3,0.2222410835
22,3,0.2222410835
23,3,0.2222410835
24,3,0.2222410835
25,3,0.2222410835
26,3,0.2222410835
27,3,0.2222410835
28,3,0.2222410835
29,3,0.2222410835
30,3,0.2222410835
31,3,0.2222410835
32,3,0.2222410835
33,3,0.2222410835
34,3,0.2222410835
35,3,0.2222410835
36,3,0.2222410835
37,3,0.2222410835
38,3,0.2222410835
39,3,0.2222410835
40,3,0.2222410835
41,3,0.2222410835
42,3,0.2222410835
43,3,0.2222410835
44,3,0.2222410835
45,3,0.2222410835
46,3,0.2222410835
47,3,0.2222410835
48,3,0.2222410835
49,3,0.2222410835
50,3,0.2222410835
51,3,0.2222410835
52,3,0.2222410835
53,3,0.2222410835
54,3,0.2222410835
55,3,0.2222410835
56,3,0.2222410835
57,3,0.2212727566
58,3,0.2212727566
59,3,0.2212727566
60,3,0.2212727566
61,3,0.2212727566
62,3,0.2212727566
63,3,0.2212727566
64,3,0.2212727566
65,3,0.2212727566
66,3,0.2212727566
67,3,0.2212727566
68,3,0.2212727566
69,3,0.2212727566
70,3,0.2212727566
71,3,0.2212727566
72,3,0.2212727566
73,3,0.2212727566
74,3,0.2212727566
