Iteration,Run,Fitness
0,0,0.2405646631
1,0,0.2405646631
2,0,0.2405646631
3,0,0.2405646631
4,0,0.2405646631
5,0,0.2405646631
6,0,0.2405646631
7,0,0.2405646631
8,0,0.2405646631
9,0,0.2405646631
10,0,0.2405646631
11,0,0.2405646631
12,0,0.2405646631
13,0,0.2405646631
14,0,0.2405646631
15,0,0.2405646631
16,0,0.2405646631
17,0,0.2405646631
18,0,0.2405646631
19,0,0.2405646631
20,0,0.2359728176
21,0,0.2359728176
22,0,0.2359728176
23,0,0.2359728176
24,0,0.2359728176
25,0,0.2359728176
26,0,0.2359728176
27,0,0.2359728176
28,0,0.2359728176
29,0,0.2359728176
30,0,0.2359728176
31,0,0.2359728176
32,0,0.2359728176
33,0,0.2359728176
34,0,0.2359728176
35,0,0.2359728176
36,0,0.2359728176
37,0,0.2359728176
38,0,0.2359728176
39,0,0.2359728176
40,0,0.2359728176
41,0,0.2359728176
42,0,0.2359728176
43,0,0.2359728176
44,0,0.2359728176
45,0,0.2359728176
46,0,0.2359728176
47,0,0.2359728176
48,0,0.2359728176
49,0,0.2359728176
50,0,0.2359728176
51,0,0.2359728176
52,0,0.2359728176
53,0,0.2359728176
54,0,0.2359728176
55,0,0.2313087333
56,0,0.2313087333
57,0,0.2313087333
58,0,0.2313087333
59,0,0.2313087333
60,0,0.2313087333
61,0,0.2313087333
62,0,0.2313087333
63,0,0.2313087333
64,0,0.2313087333
65,0,0.2313087333
66,0,0.2223214045
67,0,0.2223214045
68,0,0.2223214045
69,0,0.2223214045
70,0,0.2223214045
71,0,0.2223214045
72,0,0.2223214045
73,0,0.2223214045
74,0,0.2223214045
0,1,0.2452994245
1,1,0.2452994245
2,1,0.2452994245
3,1,0.2452994245
4,1,0.2452994245
5,1,0.2452994245
6,1,0.2452994245
7,1,0.2452994245
8,1,0.2452994245
9,1,0.2452994245
10,1,0.2452994245
11,1,0.2452761954
12,1,0.2452761954
13,1,0.2452761954
14,1,0.2452761954
15,1,0.2452761954
16,1,0.2452761954
17,1,0.2452761954
18,1,0.2452761954
19,1,0.2452761954
20,1,0.2354077903
21,1,0.2354077903
22,1,0.2354077903
23,1,0.2354077903
24,1,0.2354077903
25,1,0.2354077903
26,1,0.2354077903
27,1,0.2354077903
28,1,0.2354077903
29,1,0.2354077903
30,1,0.2354077903
31,1,0.2354077903
32,1,0.2354077903
33,1,0.2354077903
34,1,0.2354077903
35,1,0.2354077903
36,1,0.2354077903
37,1,0.2354077903
38,1,0.2354077903
39,1,0.2354077903
40,1,0.2354077903
41,1,0.2354077903
42,1,0.2354077903
43,1,0.2354077903
44,1,0.2354077903
45,1,0.2354077903
46,1,0.2354077903
47,1,0.2354077903
48,1,0.2354077903
49,1,0.2354077903
50,1,0.2354077903
51,1,0.2354077903
52,1,0.2354077903
53,1,0.2354077903
54,1,0.2354077903
55,1,0.2354077903
56,1,0.2354077903
57,1,0.2354077903
58,1,0.2354077903
59,1,0.2354077903
60,1,0.2354077903
61,1,0.2354077903
62,1,0.2354077903
63,1,0.2354077903
64,1,0.2354077903
65,1,0.2354077903
66,1,0.2354077903
67,1,0.2354077903
68,1,0.2354077903
69,1,0.2354077903
70,1,0.2354077903
71,1,0.2354077903
72,1,0.2354077903
73,1,0.2354077903
74,1,0.2354077903
0,2,0.2339197051
1,2,0.2339197051
2,2,0.2339197051
3,2,0.2339197051
4,2,0.2339197051
5,2,0.2339197051
6,2,0.2339197051
7,2,0.2266603103
8,2,0.2266603103
9,2,0.2266603103
10,2,0.2266603103
11,2,0.2266603103
12,2,0.2266603103
13,2,0.2266603103
14,2,0.2266603103
15,2,0.2266603103
16,2,0.2266603103
17,2,0.2266603103
18,2,0.2266603103
19,2,0.2266603103
20,2,0.2266603103
21,2,0.2266603103
22,2,0.2266603103
23,2,0.2266603103
24,2,0.2266603103
25,2,0.2259394380
26,2,0.2259394380
27,2,0.2259394380
28,2,0.2259394380
29,2,0.2259394380
30,2,0.2259394380
31,2,0.2259394380
32,2,0.2259394380
33,2,0.2259394380
34,2,0.2259394380
35,2,0.2259394380
36,2,0.2259394380
37,2,0.2259394380
38,2,0.2259394380
39,2,0.2259394380
40,2,0.2259394380
41,2,0.2242261029
42,2,0.2242261029
43,2,0.2242261029
44,2,0.2242261029
45,2,0.2223614019
46,2,0.2180252777
47,2,0.2180252777
48,2,0.2180252777
49,2,0.2180252777
50,2,0.2168674821
51,2,0.2168674821
52,2,0.2168674821
53,2,0.2168674821
54,2,0.2168674821
55,2,0.2168674821
56,2,0.2168674821
57,2,0.2168674821
58,2,0.2168674821
59,2,0.2168674821
60,2,0.2168674821
61,2,0.2168674821
62,2,0.2168674821
63,2,0.2168674821
64,2,0.2168674821
65,2,0.2168674821
66,2,0.2168674821
67,2,0.2168674821
68,2,0.2168674821
69,2,0.2168674821
70,2,0.2168674821
71,2,0.2168674821
72,2,0.2168674821
73,2,0.2162490072
74,2,0.2162490072
0,3,0.2272517906
1,3,0.2272517906
2,3,0.2272517906
3,3,0.2131732560
4,3,0.2131732560
5,3,0.2131732560
6,3,0.2131732560
7,3,0.2131732560
8,3,0.2131732560
9,3,0.2131732560
10,3,0.2131732560
11,3,0.2131732560
12,3,0.2131732560
13,3,0.2131732560
14,3,0.2131732560
15,3,0.2131732560
16,3,0.2131732560
17,3,0.2131732560
18,3,0.2131732560
19,3,0.2131732560
20,3,0.2131732560
21,3,0.2131732560
22,3,0.2131732560
23,3,0.2131732560
24,3,0.2131732560
25,3,0.2131732560
26,3,0.2131732560
27,3,0.2131732560
28,3,0.2131732560
29,3,0.2131732560
30,3,0.2131732560
31,3,0.2131732560
32,3,0.2131732560
33,3,0.2131732560
34,3,0.2131732560
35,3,0.2131732560
36,3,0.2131732560
37,3,0.2131732560
38,3,0.2131732560
39,3,0.2131732560
40,3,0.2131732560
41,3,0.2131732560
42,3,0.2131732560
