ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
0.05,0.2140475527,0.0073834180,0.2100574777,0.2180376277,0.2040519693,0.2283881541,0.2131963686,15
0.10,0.2162942289,0.0067651261,0.2126382852,0.2199501726,0.2045265830,0.2276845382,0.2165011359,15
0.15,0.2154314007,0.0057664427,0.2123151558,0.2185476456,0.2050131786,0.2234987792,0.2152722830,15
0.20,0.2161899437,0.0089328199,0.2113625560,0.2210173314,0.1980340737,0.2294340615,0.2167530407,15
0.25,0.2175556851,0.0066119924,0.2139824964,0.2211288737,0.2046636682,0.2288535173,0.2178982732,15
0.30,0.2161572241,0.0066432469,0.2125671452,0.2197473030,0.2012146343,0.2304623475,0.2161195701,15
0.35,0.2153368651,0.0048278739,0.2127278324,0.2179458978,0.2077026609,0.2230026124,0.2145078384,15
0.40,0.2159067272,0.0070071253,0.2121200047,0.2196934498,0.2056583819,0.2286792000,0.2177549433,15
0.45,0.2146826296,0.0070560809,0.2108694510,0.2184958083,0.2013938098,0.2280189497,0.2132313166,15
0.50,0.2176409361,0.0052846454,0.2147850594,0.2204968128,0.2100346419,0.2281894721,0.2157826735,15
0.60,0.2182634930,0.0059155561,0.2150666657,0.2214603203,0.2060985469,0.2262794280,0.2188193441,15
