ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
0.05,0.2142028857,0.0062003681,0.2108521430,0.2175536283,0.2021182179,0.2234499025,0.2166706766,15
0.10,0.2165056979,0.0049254723,0.2138439221,0.2191674738,0.2060466475,0.2248779171,0.2159759521,15
0.15,0.2136034530,0.0075262162,0.2095362085,0.2176706976,0.1961977149,0.2222205895,0.2138578856,15
0.20,0.2145795297,0.0055289424,0.2115916324,0.2175674270,0.2042891606,0.2235555014,0.2148789300,15
0.25,0.2152355873,0.0061448933,0.2119148239,0.2185563508,0.2056048540,0.2237963897,0.2143112861,15
0.30,0.2174626594,0.0046245688,0.2149634949,0.2199618239,0.2059743268,0.2223984315,0.2182126393,15
0.35,0.2171094728,0.0050546231,0.2143779025,0.2198410431,0.2062122860,0.2239545141,0.2185569610,15
0.40,0.2127556218,0.0043665977,0.2103958675,0.2151153761,0.2039782279,0.2210152290,0.2131015494,15
0.45,0.2164944287,0.0066785098,0.2128852934,0.2201035641,0.2017673384,0.2296081975,0.2170571668,15
0.50,0.2148350969,0.0059174921,0.2116372233,0.2180329705,0.2038871499,0.2243751245,0.2168214172,15
0.60,0.2150401247,0.0073936669,0.2110445111,0.2190357382,0.2006139299,0.2279927124,0.2138012940,15
