ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
0.10,0.2112608048,0.0068983309,0.2075328759,0.2149887338,0.2035785823,0.2302429700,0.2097827776,15
0.15,0.2127903432,0.0066190537,0.2092133385,0.2163673478,0.2013236638,0.2252907148,0.2124249988,15
0.20,0.2132529776,0.0081120362,0.2088691499,0.2176368054,0.2010528702,0.2241760151,0.2147361180,15
0.25,0.2166790287,0.0048153264,0.2140767768,0.2192812806,0.2064649286,0.2253176939,0.2168879402,15
0.30,0.2151233877,0.0076863740,0.2109695922,0.2192771833,0.1972394729,0.2259080879,0.2148048815,15
0.35,0.2150843524,0.0089294266,0.2102587986,0.2199099063,0.1908623628,0.2263005901,0.2177782697,15
0.40,0.2142022580,0.0075811680,0.2101053169,0.2182991991,0.2001121623,0.2248262666,0.2148363710,15
0.45,0.2118172315,0.0075597888,0.2077318440,0.2159026191,0.1955811067,0.2224809127,0.2110528442,15
0.50,0.2175280363,0.0045852334,0.2150501290,0.2200059435,0.2085255284,0.2248777662,0.2177923619,15
0.60,0.2174296382,0.0049218731,0.2147698075,0.2200894690,0.2071267731,0.2275772609,0.2190024936,15
