ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
0.05,0,310.5174,282.9100000000001,56.41677533333335,0.33756444334476193,372.48582750000014,0.2227643546898582,23
0.05,1,294.134,247.90300000000002,59.762990166666704,0.3967466172925163,382.45638750000006,0.21805255888068203,19
0.05,2,296.7742,215.53,52.20292266666664,0.3984192919779148,342.68558833333344,0.20273468248178889,17
0.05,3,320.8199,254.167,59.25757099999997,0.37052169767646215,361.1671624999999,0.2234499024590623,20
0.05,4,327.1315,276.09400000000005,54.92992933333334,0.34033617777520214,371.13641333333345,0.21304077242334823,19
0.05,5,321.1999,187.602,52.77344899999998,0.4405644751477418,350.46366833333326,0.21751348719279853,18
0.05,6,360.4115,275.71000000000004,55.53367550000003,0.3424601392767763,373.8949591666665,0.20211821787458636,16
0.05,7,316.2862,236.914,53.837109333333345,0.39486027278534264,376.32339083333346,0.21667067661586836,18
0.05,8,313.2325,292.471,55.834677166666665,0.312397793285488,351.1084066666668,0.21268355379214254,19
0.05,9,298.9146,282.71500000000003,57.468840333333354,0.3298886923816093,360.433669166667,0.20840264967552932,17
0.05,10,284.1184,260.921,56.975357333333356,0.3471014278906898,356.6202533333334,0.2171113826809207,24
0.05,11,329.8221,267.133,55.03878666666669,0.35144195962310903,375.5254999999998,0.21707651850676735,20
0.05,12,309.6501,222.639,53.8791153333333,0.40626814409574835,349.0892433333331,0.2121287951274746,19
0.05,13,320.3319,246.00400000000002,56.8372695,0.3604310160268397,359.61162499999983,0.21227380945943236,28
0.05,14,321.788,288.658,52.19453983333332,0.307458526468462,350.02568750000006,0.21702192313395294,16
0.1,0,297.1924,290.646,61.75109600000003,0.2960612795863926,357.3621408333336,0.21047729856420788,25
0.1,1,310.5727,193.315,48.65591183333335,0.44211923544474047,358.45668750000004,0.2170970833538179,17
0.1,2,341.1025,260.391,54.5664946666667,0.3501968450010434,351.923883333333,0.22487791707832339,20
0.1,3,336.9226,272.461,52.450606,0.33439077519351385,356.7586808333332,0.21772742179605797,18
0.1,4,317.8025,293.005,58.51720950000003,0.3301785293766318,372.5535408333333,0.22294945517046488,17
0.1,5,306.1786,234.066,54.32688099999999,0.3696705416421009,348.1098391666667,0.22055552445861049,18
0.1,6,345.2055,341.39300000000003,57.228766166666645,0.2788256593818072,365.2926949999998,0.22113148130197077,16
0.1,7,315.0894,246.715,54.62769999999995,0.3789920556107249,361.5773358333331,0.21398464928616998,17
0.1,8,390.3121,186.41800000000003,50.78790716666664,0.45916039938918624,350.4168891666665,0.21483729836549892,17
0.1,9,350.4361,189.09700000000004,52.78134900000002,0.42774568960198556,342.49930000000023,0.21597595208955506,21
0.1,10,328.4828,223.38,54.50226850000001,0.4179418778165756,367.2789358333331,0.215692608499754,16
0.1,11,327.5966,238.52900000000002,56.24871483333332,0.41019064069078953,377.24853166666685,0.2189955834772637,16
0.1,12,325.2917,293.709,58.17896999999999,0.33371974755058015,380.386405833333,0.21582034390658175,17
0.1,13,336.826,314.228,53.44580149999998,0.26864100801541124,344.34403166666635,0.20604664745844994,19
0.1,14,327.2622,258.334,50.417991500000035,0.35288914093124923,367.8208499999999,0.21141620428113164,14
0.15,0,330.3366,253.709,53.53895633333333,0.36185715393094703,363.71335083333327,0.22222058951574658,19
0.15,1,329.5458,320.019,55.377588999999986,0.27958937333929135,357.5605425000001,0.2123856010112717,18
0.15,2,319.9388,267.713,59.03319133333335,0.3563201450807395,380.6842150000003,0.21933027991270426,21
0.15,3,326.8968,231.329,53.306589666666646,0.3840687577721196,355.021215,0.21370136838486248,22
0.15,4,326.7847,222.50100000000003,57.803898333333336,0.4020245077550213,352.2960483333334,0.22057430607323805,21
0.15,5,340.0803,260.808,48.47920833333332,0.31698487009600934,346.47806499999996,0.1961977149470968,20
0.15,6,325.9739,311.922,55.379821666666686,0.2842677122272021,358.8277883333335,0.2158750342153233,21
0.15,7,312.429,223.483,50.231035333333324,0.39886387331474865,358.0320424999999,0.19916527156706085,17
0.15,8,313.3205,208.928,51.28022783333335,0.41345407668351447,352.09689500000013,0.2118553749278082,19
0.15,9,327.0157,290.70300000000003,56.96532666666665,0.32581349923002745,360.42831250000035,0.2193793333931332,17
0.15,10,315.3063,215.939,50.16617316666664,0.3829221446797474,342.1552699999999,0.21962446045902556,18
0.15,11,315.1518,238.348,57.538408666666705,0.39185406072913,362.22128166666675,0.2183270934410882,20
0.15,12,312.5407,237.11,55.64056583333334,0.38829456089297515,367.7735483333333,0.20874251867379948,18
0.15,13,306.1623,181.678,47.4368765,0.4655254259367308,346.4690358333334,0.2128149635857586,16
0.15,14,318.599,315.377,55.2226883333333,0.28593760272097624,343.5758141666666,0.21385788560351357,17
0.2,0,322.4753,268.045,51.79112983333331,0.3229908597436999,338.1845941666668,0.2181335528150991,17
0.2,1,323.8212,254.705,57.88972950000003,0.38826691008552383,377.8025100000002,0.21487893000283836,16
0.2,2,322.5297,318.687,61.13994550000002,0.2936534488908135,367.95866000000024,0.21936134148944478,22
0.2,3,340.922,244.55,54.24369033333334,0.3700586178695563,359.4687308333337,0.2111696512067416,16
0.2,4,338.9661,273.671,53.250028333333326,0.33341855731882447,359.44834166666647,0.21446637331119475,19
0.2,5,373.0932,218.062,58.638407,0.41333882871232336,367.7856625000002,0.21078645179319813,18
0.2,6,308.4177,287.108,57.60996083333333,0.3295810287417975,363.0890008333336,0.21690820789669665,16
0.2,7,311.5766,213.663,49.63422200000002,0.40130480398259555,342.21788000000004,0.20967051817050017,18
0.2,8,323.1274,191.189,50.34852283333331,0.45565397765213134,355.902865833333,0.20536128410435397,17
0.2,9,340.1279,241.49900000000002,51.06304783333334,0.3711826411979623,360.6205624999997,0.21277928883863156,17
0.2,10,336.8613,274.335,64.64329416666666,0.36440951756064655,380.5362224999999,0.21876970070764234,21
0.2,11,323.5517,376.684,54.89882449999998,0.230590238325316,348.97743166666646,0.22355550135986987,20
0.2,12,334.3767,261.989,63.94278233333336,0.3428792112137023,355.4089666666667,0.2197188975428476,24
0.2,13,328.6058,321.995,60.074505333333335,0.3106937219522041,387.4789383333332,0.21884408618148135,16
0.2,14,327.663,286.715,51.120159333333305,0.3136899883159235,355.56276833333305,0.20428916059849953,17
0.25,0,331.705,271.31899999999996,56.45886783333333,0.3262732797924214,355.8081891666667,0.219180121059408,18
0.25,1,523.1276,274.433,61.85358216666671,0.35392110278282857,385.769285833333,0.22222647661167524,19
0.25,2,466.0695,304.254,52.513515833333344,0.2944204239440292,350.1798341666663,0.2070389592484522,17
0.25,3,481.5673,262.70300000000003,52.930959666666716,0.3322265067395499,345.50296000000026,0.2056048539902082,19
0.25,4,367.3699,368.94800000000004,60.95969066666668,0.26956436950464563,381.8075908333335,0.2076193040780988,17
0.25,5,504.0763,289.99399999999997,57.98101266666664,0.3278560935743498,381.4177899999999,0.21305279359611035,15
0.25,6,416.9549,232.674,55.27853216666666,0.4127550922463761,379.56100833333386,0.22379638967827642,16
0.25,7,417.1629,247.827,53.080390000000016,0.3662971077942814,367.22825749999976,0.21431128606744768,18
0.25,8,395.5119,221.64100000000002,54.43538499999999,0.42150512916533195,360.49704666666645,0.21086112883770045,20
0.25,9,441.7185,263.344,53.55394466666669,0.35832500455677746,364.49332583333313,0.21523437107970791,18
0.25,10,444.8651,245.126,55.54168599999997,0.37296179651825334,354.8775708333334,0.22066692356331344,18
