ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
10.0,0,41.3404,294.059,56.133996333333336,0.32180437145833546,367.4161283333333,0.2317278995229098,19
10.0,1,40.8277,273.951,52.57067350000002,0.333682459028561,360.81222,0.2334487218667025,16
10.0,2,42.2677,247.645,51.66845700000004,0.3704926002947767,367.4654183333334,0.21512129248233677,19
10.0,3,46.2785,220.083,50.89437116666667,0.394908064987603,348.61627416666636,0.22127306466424393,17
10.0,4,41.3571,309.951,55.34364866666666,0.29333025757834835,346.14992916666665,0.24047514195400402,16
10.0,5,45.855,289.527,57.31038733333333,0.3332886627729597,373.85452166666647,0.232184356628787,17
10.0,6,43.8343,242.908,54.85096100000003,0.380392974569247,368.4366258333334,0.22983941316350456,20
10.0,7,41.7457,336.53700000000003,55.531134,0.2640433790836273,353.56120083333343,0.21593022653971802,17
10.0,8,42.1682,311.44,54.151326999999995,0.28065192867540023,350.5482133333335,0.22279596508794478,25
10.0,9,43.1626,304.91200000000003,57.37093549999999,0.3133326883384932,368.6941691666667,0.23537296268444272,16
10.0,10,43.5178,264.356,51.374078,0.3227466308059334,345.78296750000004,0.21782556714545992,17
10.0,11,43.7741,301.586,55.84810333333331,0.31416977799588386,365.4452958333333,0.21550436677183435,21
10.0,12,43.3694,226.588,52.283805999999956,0.3804076488310649,346.66540166666675,0.22456103844215694,17
10.0,13,41.057,209.489,53.97390249999995,0.44122932469007914,363.348301666667,0.21148258407627485,17
10.0,14,43.4723,267.305,60.14294849999996,0.3600549684193461,371.5391441666669,0.23453116836769064,22
20.0,0,83.2454,315.095,55.85744833333338,0.2785031128178274,358.0936491666665,0.22586700042069663,21
20.0,1,83.2038,273.665,57.61092116666669,0.3523413540886363,373.4612141666665,0.2302031735664862,20
20.0,2,84.6198,309.258,56.58942366666664,0.30003051389670327,367.27450166666694,0.218232330107028,17
20.0,3,77.2832,312.48900000000003,55.25736850000003,0.30996433474458307,370.0278491666665,0.22116028512898764,16
20.0,4,83.2183,275.954,54.64983600000006,0.34084485699307376,380.2885433333335,0.22325823044077953,15
20.0,5,78.9271,194.31900000000002,53.56401950000003,0.46778234072152836,376.2298841666666,0.21329010446574098,19
20.0,6,84.9923,241.04100000000003,55.28500849999998,0.38077761321379616,367.26206249999956,0.2229553944705754,19
20.0,7,83.1387,315.644,60.03628816666668,0.29588176870144844,366.2474483333333,0.20825786407084984,22
20.0,8,76.8887,203.62900000000002,54.11641666666667,0.4286748858626882,357.88005749999985,0.21926219151414525,22
20.0,9,84.4943,314.472,53.9617803333333,0.30107756811417224,365.2132266666665,0.22845107829260114,15
20.0,10,83.81,287.666,54.71573366666665,0.32538177377004357,356.8057525000002,0.2203048426222096,18
20.0,11,81.9863,265.997,56.11825283333332,0.34905652444701735,361.3926783333332,0.21651306829779401,17
20.0,12,82.4182,300.177,56.87146283333333,0.298057446106797,351.7860766666666,0.21857002985149285,21
20.0,13,75.8146,209.58900000000003,56.33179216666666,0.4282117700197369,361.76538166666637,0.21741945345747285,22
20.0,14,79.7763,274.383,56.64477950000002,0.3489063644613551,369.46469749999994,0.21715866363177946,18
40.0,0,163.5172,308.99,57.69988950000002,0.2960624184169929,362.37688000000037,0.2232338536459696,18
40.0,1,167.2761,236.263,56.25272583333331,0.4015675327918462,362.4919433333334,0.21640797677284943,20
