ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
25.0,0,152.8693,283.408,58.89681316666668,0.33754225945162686,365.18590333333356,0.2223214044817354,20
25.0,1,103.8562,313.365,58.23275016666667,0.28794268664337114,354.55816416666653,0.23540779029922873,19
25.0,2,91.0459,326.571,61.28964183333334,0.2953566758836516,378.77166583333343,0.21624900723091306,20
25.0,3,92.8503,268.636,54.9504498333333,0.3433520761675029,365.30362749999995,0.21317325602470052,16
25.0,4,97.2292,298.815,53.991292499999965,0.3110128284501559,366.0835783333335,0.21129601847729948,18
25.0,5,85.6553,209.196,51.206261666666656,0.40597702632937505,335.8642425,0.22766059650469853,20
25.0,6,91.4546,269.705,52.97164266666666,0.3157510860631677,347.1450141666667,0.2276219753449224,24
25.0,7,90.2639,259.50800000000004,63.46026533333334,0.3833106622274971,377.64105583333327,0.21885273651066858,18
25.0,8,85.2663,287.088,55.05397400000003,0.3255840021178175,375.6911691666669,0.20014983370330816,21
25.0,9,93.3901,295.89300000000003,55.60962349999996,0.3164609842071289,371.64674333333346,0.22959977575235607,17
25.0,10,85.9029,275.382,58.21648283333335,0.33701746422545176,368.69205083333327,0.22386260904186278,21
25.0,11,94.5737,260.041,59.44887283333335,0.36770454146333337,375.35451750000016,0.2179863719806518,20
25.0,12,86.1554,323.67,62.10841416666664,0.3040733772051782,382.6187166666666,0.2213697338433486,16
25.0,13,82.3204,266.43,55.57826000000001,0.353250597405197,366.89951333333346,0.22039919148657236,16
25.0,14,88.9677,271.024,59.88664433333335,0.34218063713914626,366.4318524999999,0.22362820412917317,21
30.0,0,107.4178,252.442,55.82810299999999,0.3721333547243856,368.12801083333306,0.21847258329940092,16
30.0,1,101.8269,277.734,60.27060583333331,0.33416477636875574,360.87653499999976,0.2298082932781468,20
30.0,2,103.9652,287.271,60.034065166666664,0.3349087621096456,373.6044983333332,0.23347505147222572,16
30.0,3,99.4678,258.041,52.85266083333333,0.3379006178604692,344.5486208333333,0.2092415760270974,19
