Gamma,Initial Fitness,Final Fitness,Std Dev,95% CI,Improvement %,Iterations
0.1,0.231544,0.211261,0.006898,"[0.207441, 0.215081]",8.76%,74
0.15,0.228218,0.212790,0.006619,"[0.209125, 0.216456]",6.76%,74
0.2,0.230347,0.213253,0.008112,"[0.208761, 0.217745]",7.42%,74
0.25,0.227579,0.216679,0.004815,"[0.214012, 0.219346]",4.79%,74
0.3,0.229678,0.215123,0.007686,"[0.210867, 0.219380]",6.34%,74
0.35,0.230591,0.215084,0.008929,"[0.210139, 0.220029]",6.72%,74
0.4,0.228573,0.214202,0.007581,"[0.210004, 0.218401]",6.29%,74
0.45,0.228051,0.211817,0.007560,"[0.207631, 0.216004]",7.12%,74
0.5,0.233685,0.217528,0.004585,"[0.214989, 0.220067]",6.91%,74
0.6,0.229713,0.217430,0.004922,"[0.214704, 0.220155]",5.35%,74
